# =================================================
# Errors
# =================================================

error                                  Errore
launchpad_tutorial_13b_xin             Seleziona il plotone esistente e premi A per controllarlo, oppure seleziona l'icona corrispondente nel Riquadro attività o scorri le attività in svolgimento usando il pulsante dorsale sinistro o destro.
launchpad_tutorial_14                  Per lanciare una granata, usa il grilletto destro mentre spari con i laser. Più inclini la levetta destra, maggiore sarà la distanza a cui lancerai la granata.
launchpad_tutorial_14_kbd              Puoi lanciare granate facendo clic con il pulsante sinistro del mouse, mentre tieni premuto il pulsante destro per sparare con i laser.
launchpad_tutorial_15                  Ti consiglio di spostare il tuo plotone e di distruggere i Virii sulla collina usando le tue nuove armi.
launchpad_tutorial_16                  Dobbiamo raggiungere il radar nelle vicinanze per essere sicuri di eliminarli tutti.
launchpad_tutorial_17                  Questa struttura è un radar. I radar possono essere usati per spostarsi da un'isola all'altra.
launchpad_tutorial_18                  Ora possiamo utilizzarlo per collegarci all'isola vicina, poi invieremo il plotone attraverso questo collegamento.
launchpad_tutorial_19                  Sfortunatamente, questo radar è stato infettato dallo stesso virus rosso contro cui stai combattendo.
launchpad_tutorial_20                  Per usarlo, devi innanzi tutto farlo riprogrammare dal tuo ingegnere, al fine di eliminare ogni traccia dell'infezione virale.
launchpad_tutorial_21_kbd              Seleziona il tuo ingegnere e spostalo verso il radar da riprogrammare. Fai clic sulla sua icona nel Riquadro attività o direttamente su di esso per selezionarlo.
launchpad_tutorial_21_xin              Seleziona il tuo ingegnere e spostalo verso il radar da riprogrammare. Seleziona la sua icona nel Riquadro attività per selezionarlo, oppure selezionalo direttamente.
launchpad_tutorial_22                  L'ingegnere può accedere al radar attraverso la torre di controllo. Ora lo sta riprogrammando, così possiamo utilizzarlo.
launchpad_tutorial_23_kbd              OK, il radar è di nuovo sotto il nostro controllo. Deseleziona il tuo ingegnere premendo [KEYUNITDESELECT], poi seleziona il radar facendoci clic sopra.
launchpad_tutorial_23_xin              OK, il radar è di nuovo sotto il nostro controllo. Deseleziona il tuo ingegnere premendo B, poi seleziona il radar evidenziandolo e premendo A.
launchpad_tutorial_24_kbd              Ora allinea i radar facendo clic sul ricevitore che sta sull'altra isola. Ho evidenziato il radar per te. Puoi avvicinare la visuale con la rotellina centrale del mouse o con il tasto [KEYCAMERAZOOM].
launchpad_tutorial_24_xin              Ora allinea i radar selezionando il ricevitore che sta sull'altra isola e premendo A. Ho evidenziato il radar per te. Per ingrandire la visuale, premi senza rilasciare il grilletto sinistro.
launchpad_tutorial_25_kbd              Ora puoi vedere i dischi dei radar allineati: possiamo trasportare il plotone. Deseleziona il radar premendo [KEYUNITDESELECT] e poi seleziona il tuo PLOTONE.
launchpad_tutorial_25_xin              Ora puoi vedere i dischi dei radar allineati: possiamo trasportare il plotone. Deseleziona il radar premendo B e poi seleziona il tuo PLOTONE.
launchpad_tutorial_26_kbd              Ora puoi inviare il tuo PLOTONE attraverso il radar facendo clic su di esso mentre è selezionato.
launchpad_tutorial_26_xin              Ora puoi inviare il tuo PLOTONE attraverso il radar spostando il plotone verso di esso.

launchpad_tutorial_defend_1            Fai attenzione, ci sono altri Virii nelle vicinanze.
launchpad_tutorial_defend_2            Difenditi!

launchpad_tutorial_40                  Queste struttura è un'incubatrice. È una struttura molto importante per Darwinia.
launchpad_tutorial_41                  Possiamo usarla per convertire le anime di queste creature che hai appena ucciso in Darwiniani.
launchpad_tutorial_42                  Ma, come per il radar, la prima cosa che dobbiamo fare è riprogrammarla, al fine di rimuovere l'infezione virale.
launchpad_tutorial_43_kbd              Crea un ingegnere vicino all'incubatrice per riprogrammarla. Tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic sul pulsante Ingegnere, oppure premi [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin              Crea un ingegnere vicino all'incubatrice per riprogrammarla. Accedi al Riquadro attività e premi il pulsante Ingegnere.
launchpad_tutorial_44                  Ora che l'incubatrice è attiva, vedrai gli ingegneri raccogliere le anime.
launchpad_tutorial_45                  Tutte le creature a Darwinia hanno un'anima, siano esse Darwiniani o virus.
launchpad_tutorial_46                  Gli ingegneri possono raccogliere le anime delle creature morte e metterle nell'incubatrice per farle rinascere.
launchpad_tutorial_47                  Le incubatrici convertiranno ciascuna anima in nuovi Darwiniani.
launchpad_tutorial_48                  Questo è il nostro modo di sconfiggere il virus: distruggiamo le loro rosse sembianze maligne e le riconvertiamo in amichevoli Darwiniani.
launchpad_tutorial_49                  Ottimo lavoro, sono rinati i primi Darwiniani.
launchpad_tutorial_50                  Come dicevo prima, sono creature molto curiose e ho fatto in modo che sviluppassero una volontà propria.
launchpad_tutorial_51                  Non possiamo controllarli direttamente, perciò lo facciamo attraverso plotoni e ingegneri.
launchpad_tutorial_52                  Ma daranno retta solo a se stessi, anche se possiamo influenzare le loro scelte attraverso gli ufficiali.
launchpad_tutorial_53                  Il programma dell'ufficiale si trova più avanti: distruggi il virus e recupera i dati di ricerca utilizzando un ingegnere.
launchpad_tutorial_54                  Bene, giusto per informarti, sto cercando di rifornire il razzo di carburante, così i Darwiniani potranno tentare di farlo decollare.
launchpad_tutorial_54b                 Prima o poi, dovremo fare i conti con i malefici Darwiniani rossi che circondano il razzo, ma prima dobbiamo rifornirlo di carburante.
launchpad_tutorial_55                  La maggior parte del carburante è bruciata durante il primo attacco e ora dobbiamo rifare il pieno.
launchpad_tutorial_56                  Il carburante per il razzo è generato da tre pompe di carburante, sparse sull'isola principale. Eccone una.
launchpad_tutorial_57                  Il loro compito è quello di estrarre carburante grezzo dai fondali marini e raffinarlo in carburante, che verrà poi pompato nei serbatoi del razzo.
launchpad_tutorial_58                  Sfortunatamente, tutte le tre pompe non sono attive e hanno bisogno di energia per lavorare.
launchpad_tutorial_59                  L'energia è generata da questi pannelli solari.
launchpad_tutorial_60                  Per farli funzionare dobbiamo scortarvi alcuni Darwiniani.
launchpad_tutorial_61                  Il programma che hai recuperato ci permetterà di guidare i Darwiniani fin là, usando gli ufficiali.
launchpad_tutorial_62_kbd              Tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic su un pulsante per creare un ufficiale, oppure premi [KEYICONSTASKMANAGERNEWOFFICER].
launchpad_tutorial_62_xin              Per creare un ufficiale, accedi al Riquadro attività e seleziona il relativo pulsante.
launchpad_tutorial_63_kbd              Ora, dobbiamo selezionare un Darwiniano per promuoverlo al grado di ufficiale; fai clic su uno di essi per farlo.
launchpad_tutorial_63_xin              Ora, dobbiamo selezionare un Darwiniano per promuoverlo al grado di ufficiale; per farlo, selezionane uno e premi A.
launchpad_tutorial_64_kbd              Ora possiamo influenzare gli altri Darwiniani nelle vicinanze. Fai clic sull'ufficiale per impostare la modalità SEGUI.
launchpad_tutorial_64_xin              Ora possiamo influenzare gli altri Darwiniani nelle vicinanze. Seleziona l'ufficiale e premi il grilletto destro per metterlo in modalità SEGUI.
launchpad_tutorial_65                  Questi Darwiniani seguiranno l'ufficiale ovunque andrà. In questo caso, abbiamo riunito tutti i Darwiniani circostanti.
launchpad_tutorial_66_kbd              Fai clic col pulsante destro del mouse vicino ai pannelli solari e metti l'ufficiale in modalità MOVIMENTO.
launchpad_tutorial_66_xin              Sposta il cursore accanto ai pannelli solari e premi il grilletto destro per mettere l'ufficiale in modalità MOVIMENTO.
launchpad_tutorial_67                  L' ufficiale sta impartendo ordini ai Darwiniani vicini per recarsi in questo posto.
launchpad_tutorial_68                  Puoi disporre di quanti ufficiali desideri. Ora usali per occupare i pannelli di controllo intorno alla base di ciascun pannello solare.
launchpad_tutorial_69                  Ottimo lavoro! Il primo gruppo di pannelli solari funziona.
launchpad_tutorial_70                  Finché i Darwiniani li faranno funzionare, essi continueranno a produrre l'energia desiderata.
launchpad_tutorial_71                  La prima pompa di carburante ora sta ricevendo energia e ha iniziato a estrarre carburante grezzo dai fondali oceanici.
launchpad_tutorial_72                  L'oceano è abitato da un intero ecosistema digitale, che si sviluppa da oltre 10 anni. Così non mancheranno mai riserve di minerali, che potremo usare come carburante.
launchpad_tutorial_73                  Certo, non avevo capito. I Darwiniani hanno avuto l'idea di estrarre minerali dai fondali marini per convertirli in carburante.
launchpad_tutorial_74                  Ora puoi vedere la prima parte di carburante immessa nei serbatoi del razzo.
launchpad_tutorial_75                  Ma andiamo avanti.
launchpad_tutorial_76                  Ci sono ancora due pompe di carburante da attivare, meglio occuparsene ora.
launchpad_tutorial_77                  Probabilmente, dovresti andare da questa parte.

launchpad_reprogram_1_kbd              Per allineare i radar, aspetta prima che vengano riprogrammati, poi deseleziona l'attività che stai svolgendo, premendo [KEYUNITDESELECT].
launchpad_reprogram_1_xin              Per allineare i radar, aspetta prima che vengano riprogrammati, poi deseleziona l'attività che stai svolgendo premendo B.
launchpad_reprogram_2_kbd              A questo punto, fai clic sul radar e allinealo facendo clic sul radar ricevente.
launchpad_reprogram_2_xin              A questo punto, seleziona il radar con il pulsante A e allinealo selezionando il radar ricevente e premendo di nuovo A.
launchpad_reprogram_3_kbd              Quando hai finito, deseleziona il radar premendo [KEYUNITDESELECT].
launchpad_reprogram_3_xin              Quando hai finito, deseleziona il radar premendo B.

launchpad_dgupgrade_1                  Hai scoperto alcuni dati di ricerca sulle armi Darwiniane.
launchpad_dgupgrade_2                  Questo ci permetterà di fornire ai Darwiniani verdi le stesse granate che usano i plotoni.
launchpad_dgupgrade_3                  Ora, con le granate, i nostri Darwiniani avranno molte più possibilità di difendersi dai Virii rossi malefici.

launchpad_finalintro_1                 Quest'isola è pesantemente infettata dal virus.
launchpad_finalintro_2                 Ricordati di impossessarti dell'incubatrice nelle vicinanze usando un ingegnere e di fargli raccogliere le anime dei morti.
launchpad_finalintro_3                 Non aver paura di usare i nuovi Darwiniani per combattere: ordina loro di attaccare il nemico attraverso i tuoi ufficiali.

launchpad_finalisland_1                Le tre pompe di carburante funzionano perfettamente ora e il razzo è stato rifornito. Ottimo lavoro!
launchpad_finalisland_2                Ora dobbiamo occuparci dell'ultimo problema: attaccare e distruggere i malefici Darwiniani rossi, che occupano la rampa di lancio.
launchpad_finalisland_3                Queste strutture, che loro hanno raggruppato, si chiamano punti di generazione. Dovrai strapparli all'armata rossa.
launchpad_finalisland_4                Queste strutture sono simili a delle incubatrici automatiche e daranno costantemente origine a nuovi Darwiniani, fino a raggiungere un certo numero.
launchpad_finalisland_5                Momentaneamente, sono controllate dai Darwiniani rossi, quindi i nuovi Darwiniani generati, per ora, saranno rossi.
launchpad_finalisland_6                Una volta entrato in possesso di questi punti di generazione, comincerai a ricevere immediatamente nuovi Darwiniani verdi.
launchpad_finalisland_7                Per conquistare il primo punto di generazione, dovrai trasportare i Darwiniani verdi attraverso le connessioni radar.
launchpad_finalisland_8                I Darwiniani rossi ti attaccheranno non appena avrai sottratto il primo punto di generazione, perciò fai attenzione.
launchpad_finalisland_9                Buona fortuna!

launchpad_reprogram2_1                 Allinea questo radar con l'isola centrale.
launchpad_reprogram2_2                 Puoi trasferirci i Darwiniani usando un ufficiale.

launchpad_success_1                    Ce l'abbiamo fatta!
launchpad_success_2                    Grazie, dal profondo del cuore.
launchpad_success_3                    Se vuoi saperne di più su questo mondo e sulla Grande Guerra, acquista subito il gioco completo online.
launchpad_success_4                    Arrivederci, amico mio!

launchpad_success_5                    Vieni, ti mostrerò come tutto è iniziato, quando Darwinia è cambiata per sempre...

launchpad_button_exitdemo              ESCI DALLA DEMO
launchpad_button_buynow                ACQUISTA ORA

launchpad_buyme_1                      VUOI SAPERNE DI PIÙ?
launchpad_buyme_2                      Acquista Darwinia online e
launchpad_buyme_3                      SCARICA IL GIOCO IMMEDIATAMENTE!
launchpad_buyme_4                      Mancano solo 30 MB
launchpad_buyme_5                      per avere il gioco completo.

launchpad_buyme_oberon_1a              VUOI GIOCARE
launchpad_buyme_oberon_1b			   ANCORA?
launchpad_buyme_oberon_2               Acquista subito Darwinia e
launchpad_buyme_oberon_3               GIOCA LA VERSIONE COMPLETA!


# ================================================
# END OF STRINGS FILE FOR DEMO
# All strings below this line will NOT
# be included in the DEMO build
# ================================================

demo_endoffile                         Non utilizzato


# ================================================
# Garden
# ================================================

garden_intro_1                         E tu chi diavolo sei? Come sei arrivato fin qui?
garden_intro_2                         Pensavo di aver terminato tutte le connessioni esterne.
garden_intro_3                         Bene, sei hai intenzione di restare, potresti renderti utile.
garden_intro_4                         Prenditi un po' di tempo per i tuoi rilevamenti, poi aiutami a distruggere questo virus rosso.
garden_intro_5_kbd                     Se non sai cosa fare, puoi chiedere aiuto premendo [KEYSEPULVEDAHELP] e io ti darò una mano.

garden_foundscroll_1                   Ottimo lavoro! Gli ingegneri si occuperanno di scaricare questi dati sul mio computer.
garden_foundscroll_2                   Purtroppo, quasi tutte le mie ricerche sono andate perse qualche ora fa con la comparsa del virus, quindi potresti trovare nuovi dati più avanti.
garden_foundscroll_3                   Sarebbe di grande aiuto per me se tu potessi usare gli ingegneri per scaricare ogni risultato della ricerca trovato. Sono troppo impegnato a cercare di debellare il virus e non ho tempo di occuparmene di persona.

garden_souls_1                         Potresti aver notato che i Virii rilasciano delle piccole cose rosse quando vengono uccisi. Si tratta di DNA digitale... anime digitali, se permetti l'espressione.
garden_souls_2                         Ogni creatura vivente a Darwinia possiede un'anima digitale. Originariamente, erano state ideate solo per i Darwiniani, ma il virus se ne è appropriato.
garden_opentrunkport_1                 Prima di risolvere la questione, dobbiamo muoverci da qui. Devi aprire questa porta di passaggio per me.
garden_opentrunkport_2                 Essa è munita di una torre di controllo standard, perciò puoi inviarvi un ingegnere per riprogrammarla, così potremo usarla.


# ================================================
# Cutscene after Garden
# ================================================

gardenfinished_1                       Mi dispiace se sono stato un po' scortese con te, ma queste ultime ore sono state pesanti per me.
gardenfinished_2                       Io sono il dottor Sepulveda, l'ideatore del progetto di vita digitale di Darwinia. In condizioni normali, ti avrei accolto a braccia aperte e ti avrei mostrato Darwinia, ma ho paura che oggi non sia proprio il caso di fare una visita guidata.
gardenfinished_3                       Ho bisogno che tu mi aiuti a riattivare alcuni settori infetti. La zona di contenimento è un punto nevralgico: ti prego di raggiungerla. Ti spiegherò i dettagli quando ti sarai connesso.


# ================================================
# Containment field
# ================================================

containment_primary_1                  Dobbiamo iniziare a rimettere in piedi la popolazione di Darwinia. La chiave sono le incubatrici.
containment_primary_2                  Elimina l'infezione virale all'esterno dello scudo protettivo, poi serviti degli ingegneri per raccogliere le anime dei Virii morti e portarle nelle incubatrici.
containment_primary_3                  Ci sono tre incubatrici, sparse in questo settore, che convertiranno le anime dei nemici sconfitti in Darwiniani.
containment_primary_4                  Promuovi alcuni Darwiniani al grado di ufficiali e usali per scortare i restanti Darwiniani all'interno dell'area protetta.
containment_primary_5                  Vorrei che tu scortassi almeno 150 Darwiniani in questo modo, per essere certi che ce ne siano abbastanza al sicuro nell'area protetta.

containment_intro1                     Quando il virus è esploso, ho avuto molta difficoltà a controllarlo.
containment_intro1b                    Non avevo scelta: ho dovuto chiudere le porte di passaggio che collegavano tutti i settori di Darwinia.
containment_intro2                     Questo è l'unico posto in cui ho potuto far fronte all'avanzata del virus. Il doppio scudo di questa zona è una barriera formidabile.
containment_intro3                     Ho messo in evidenza le tre porte di passaggio disattivate sull'isola: dovrai riattivarle tutte.
containment_intro3b                    Una volta riattivate, le porte di passaggio ci permetteranno di accedere a numerosi e importanti settori.
containment_rescuedw1                  Ma, in realtà, i Darwiniani restano la nostra preoccupazione principale.
containment_rescuedw1b                 Ho trascorso gran parte degli ultimi dieci anni a far evolvere queste creature e ne vado fiero.
containment_rescuedw2                  Se il virus avesse infestato totalmente Darwinia, ora sarebbero tutti morti. Ma sono riuscito a salvarne alcuni.
containment_rescuedw2b                 Si sono succedute oltre diecimila generazioni di Darwiniani e la perdita nel campo dell'IA sarebbe impensabile.
containment_rescuedw3                  Sono creature straordinarie, ognuna ha la propria anima digitale che ritorna al deposito delle anime dopo la morte.
containment_rescuedw4                  Dovrai aiutarmi a farli rifiorire e io ti assisterò. Per ora, inizia a debellare il virus al di fuori dell'area protetta.

containment_incubator_1                L'incubatrice funziona! Eccellente. Gli ingegneri raccoglieranno le anime delle creature morte nelle vicinanze e le porteranno qui.
containment_incubator_2                Queste anime verranno riconvertite in Darwiniani, una alla volta. Questo è il modo in cui ricostruiamo la popolazione di Darwinia.
containment_incubator_3                Sfortunatamente, ho fatto in modo che i Darwiniani avessero una volontà propria e, per questo motivo, non possiamo controllarli direttamente come invece accade per il plotone.
containment_incubator_4                Ma ci sono dei modi per esercitare un'influenza su di loro. Continua a debellare l'infezione e a raccogliere le anime... tornerò da te.

containment_officer_1                  Fantastico! Hai trovato il mio codice per il programma dell'ufficiale. Questo pratico programma ti permetterà di promuovere Darwiniani al grado di ufficiali, al fine di impartire ordini ai restanti Darwiniani nelle vicinanze.
containment_officer_2_kbd              Per creare un ufficiale, disegnane la figura e poi fai clic sul Darwiniano che vuoi promuovere a ufficiale.
containment_officer_2_xin              Per creare un ufficiale, disegnane la figura e seleziona il Darwiniano che vuoi promuovere a ufficiale.
containment_officer_2_icons_kbd        Per creare un ufficiale, apri il Riquadro attività e fai clic sull'icona Ufficiale, poi fai clic sul Darwiniano che desideri promuovere.
containment_officer_2_icons_xin        Per creare un ufficiale, apri il Riquadro attività e seleziona l'icona Ufficiale, poi seleziona il Darwiniano che desideri promuovere.
containment_officer_3                  I Darwiniani appena rinati non sono al sicuro... Spostali sotto l'albero all'interno dell'area protetta (messa in evidenza) usando il programma dell'ufficiale.

containment_rescuedws_1                Ottimo lavoro! Sembra che i Darwiniani abbiano raggiunto l'area protetta. Ma non è ancora abbastanza se vogliamo far rivivere Darwinia.
containment_rescuedws_2                Penso che dovremmo cercare di radunare circa 150 Darwiniani nell'area protetta. Debella l'infezione sulle isole circostanti, raccogli le anime e scorta i Darwiniani, finché non ne avrai abbastanza.

containment_objective_2                Soccorri 150 Darwiniani

containment_finished_1                 Penso che ora ci siano abbastanza Darwiniani nell'area protetta.


# ================================================
# Cutscene after containment
# ================================================

containmentend_1                       Sto lavorando per realizzare una piattaforma per le armi, che i Darwiniani potrebbero usare per sconfiggere il virus.
containmentend_1b                      C'è ancora molto lavoro da fare, ma possiamo costruire queste armi a Darwinia.
containmentend_2                       Darwinia ha ancora un solido sistema ingegneristico per poter costruire queste cose, ma tutto il resto non funziona.
containmentend_2b                      Il sistema si basa su tre settori: la miniera, il generatore e il deposito.
containmentend_3                       Per prima cosa, lascia che ti mostri la miniera.

containmentend_mine1                   Questo settore è una gigantesca e complessa miniera, purtroppo occupata da questo odioso virus.
containmentend_mine1b                  Poligoni grezzi vengono estratti dai fianchi della montagna e messi nei carrelli di passaggio.
containmentend_mine2                   Questi poligoni passeranno attraverso la raffineria per essere trasformati in primitivi.
containmentend_mine3                   Ho ideato questo mondo perché fosse unicamente dei Darwiniani. Tutte queste strutture hanno bisogno di loro per funzionare.
containmentend_mine3b                  Intere generazioni di Darwiniani minatori hanno lavorato qui, prima dell'arrivo del virus.
containmentend_mine4                   Comunque...
containmentend_mine5                   Una volta che i primitivi sono stati raffinati, devono essere trasportati al deposito dei materiali da costruzione.

containmentend_5                       Inoltre, queste miniere producono anche primitivi raffinati e li inviano direttamente al deposito.
containmentend_5b                      Anche il deposito necessita di energia, che proviene dal generatore.

containmentend_generator1              Questo è il generatore: qui viene prodotta e modulata l'energia che fa funzionare Darwinia.
containmentend_generator1b             I pannelli solari, in questo settore, sfruttano l'energia emanata dal deposito delle anime, al centro di Darwinia.
containmentend_generator2              Come molti altri edifici di Darwinia, questi pannelli solari hanno bisogno dei Darwiniani per funzionare.
containmentend_generator3              Questo è il generatore di energia principale.
containmentend_generator3b             Esso modula l'energia dei pannelli solari in un flusso di energia utilizzabile.
containmentend_generator4              Questo flusso di energia attraversa poi le porte di passaggio, fino al deposito di costruzione.
containmentend_generator5              Purtroppo, questa porta di passaggio è guasta. La riattiveremo dall'altro lato, dopo aver raggiunto il deposito.

containmentend_6                       Così il generatore produce energia.
containmentend_6b                      Il deposito riceve energia e primitivi, ed è lì che costruiremo la nuova piattaforma per le armi.
containmentend_7                       Se hai bisogno di aiuto con le attività, visualizza la schermata degli obiettivi...
containmentend_7_kbd                   Se hai bisogno di aiuto con le attività, tieni premuto il tasto [KEYICONSTASKMANAGERDISPLAY] e sposta il mouse verso destra per visualizzare gli obiettivi...
containmentend_7_icons                 Se hai bisogno di aiuto con le attività, visualizza la schermata degli obiettivi...
containmentend_7_icons_kbd             Se hai bisogno di aiuto con le attività, tieni premuto il tasto [KEYICONSTASKMANAGERDISPLAY] e sposta il mouse verso il basso per visualizzare gli obiettivi...
containmentend_7b_kbd                  ... Ora puoi fare clic su un obiettivo e io ti aiuterò.
containmentend_7b_xin                  ... Ora puoi selezionare un obiettivo e io ti aiuterò.
containmentend_8                       Buona fortuna!


# ================================================
# Purity Control
# ================================================

puritycontrol_1                        Bene, è il momento di venire al sodo. Sappiamo che non hai pagato per questo gioco, fin qui, e che lo hai scaricato da Internet.
puritycontrol_2                        Comprensibile. Non vogliamo giudicarti per questo e sappiamo che non è come rubare dagli scaffali di un negozio.
puritycontrol_3                        Ma questo gioco è stato realizzato da un piccolo gruppo di sviluppatori indipendenti, che hanno lavorato per 3 anni prima di completarlo.
puritycontrol_4                        La Introversion Software non sopravvivrà e non saremo più in grado di realizzare giochi come Darwinia e Uplink, se tutti piratano i nostri giochi, invece di acquistarli.
puritycontrol_5                        Se fin qui il gioco ti è piaciuto, visita il nostro sito web e acquista la versione completa.
puritycontrol_6                        Grazie per aver giocato a Darwinia. Speriamo vivamente che tu faccia la scelta più giusta.


# ================================================
# Generator
# ================================================

generator_objective1                   Genera 65 Gq/s di energia.

generator_primary_1                    Questa struttura è il generatore principale di Darwinia, che fornisce energia a ogni settore ed edificio in questo mondo.
generator_primary_2                    Stiamo per costruire cose che ci serviranno a combattere questa invasione e avremo bisogno di molta più energia.
generator_panels_1                     Ci sono tre gruppi di pannelli solari sparsi in questa area. Come la maggior parte degli edifici, richiedono Darwiniani per funzionare.
generator_panels_2                     Una volta attivi, sfruttano l'energia emanata dal deposito delle anime, al centro di Darwinia.
generator_panels_3                     Questa energia viene trasferita, attraverso dei piloni, fino al generatore principale, dove viene modulata in un flusso che può essere utilizzato da tutte le strutture del mondo.
generator_panels_4                     Dovremo raggiungere una produzione di energia di almeno 65 Gigaquad al secondo per poter lavorare.
generator_panels_5                     Questa porta di passaggio, di solito, trasferisce l'energia al deposito di costruzione.
generator_panels_6                     Sfortunatamente, non c'è via d'accesso qui, così dovremo aprire la porta di passaggio dall'altro lato, al deposito di costruzione.
generator_panels_7                     Ma ce ne occuperemo più tardi.


# ================================================
# Cutscene after Mine and Generator
# ================================================

yard_available_1                       OK, ho terminato il progetto della piattaforma per le armi e l'ho caricato nel sistema.
yard_available_2                       Quando sei pronto, vieni al deposito. Dovremo farlo funzionare e avviare la produzione immediatamente.


# ================================================
# Construction Yard
# ================================================

yard_objective_1                       Attiva la porta di passaggio del generatore
yard_objective_2                       Avvia la produzione di mezzi corazzati
yard_objective_3                       Debella l'infezione delle formiche

yard_intro_1                           Questo è il deposito di costruzione. Da qui, ho potuto avviare il programma di produzione virtuale di tutte le costruzioni di Darwinia.
yard_intro_2                           I Darwiniani, a volte, usano il deposito per costruire le loro cose, quando pensano che non li stia guardando. Te lo mostrerei, se ne il avessi tempo.
yard_intro_3                           Ma la visita turistica dovrà attendere.
yard_genport_1                         Se ben ricordi, non potevamo aprire la porta di passaggio dal generatore.
yard_genport_2                         Dovrai attivare la connessione da qui, per permettere al flusso di energia modulato di passarvi attraverso.
yard_intro_4                           Questo deposito di costruzione controlla i carrelli della miniera. I primitivi raffinati, provenienti dalle miniere, arriveranno qui all'interno dei carrelli.
yard_intro_5                           Il deposito recupererà i primitivi raffinati e il flusso di corrente modulato e inizierà a produrre la nostra piattaforma, che io ho chiamato mezzo corazzato.
yard_intro_6                           Ciò che ho realizzato è un tipo di mezzo di trasporto per truppe armate, che può essere trasformato in cannone da battaglia, utilizzabile sia da te che dai Darwiniani.
yard_safearea_1                        Quando il deposito funzionerà e produrrà mezzi corazzati, debella le formiche che stanno nei dintorni e apri le porte di passaggio.
yard_safearea_2                        Questo è un trampolino di lancio verso le zone più infettate di Darwinia, che devono essere totalmente ripulite.
yard_intro_7                           Una volta che disporremo di queste nuove armi, avremo buone possibilità di combattere l'infezione. Buona fortuna!

yard_progress_1                        OK, la porta di passaggio del generatore è attiva: riceviamo il flusso di energia.
yard_progress_2                        Proseguiremo fino al deposito di costruzione e lo faremo funzionare.

yard_progressarmour_1                  Ottimo lavoro, stiamo costruendo un mezzo corazzato.
yard_progressarmour_2                  Ora, dobbiamo disinfestare la valle dalle formiche.
yard_progressarmour_3                  Ti consiglio di utilizzare il nuovo corazzato. Puoi servirti del suo cannone da battaglia, che ripulirà la zona senza problemi.

yard_finished_1                        Ho aggiunto il programma del corazzato alla tua lista di figure. Ora puoi reperire un corazzato in qualsiasi posto disegnando questa figura.
yard_finished_1_icons_kbd              Ho aggiunto il programma del corazzato alla tua lista di figure. Ora puoi reperire un corazzato in qualsiasi posto facendo clic sull'icona corrispondente nel Riquadro attività.
yard_finished_1_icons_xin              Ho aggiunto il programma del corazzato alla tua lista di figure. Ora puoi reperire un corazzato in qualsiasi posto selezionando l'icona corrispondente nel Riquadro attività.
yard_finished_2                        Il corazzato dovrà viaggiare attraverso il sistema delle porte di passaggio, quindi potrai reperirlo solo vicino alle porte di passaggio che controlli.


# ================================================
# Biosphere Alpha (hostage rescue)
# ================================================

biospherealpha_objective               Soccorri 100 Darwiniani

biospherealpha_primary1                Un gran numero di Darwiniani è intrappolato qui: dobbiamo liberarli.
biospherealpha_primary2                Non possono raggiungere le zone sicure da soli e ora abbiamo bisogno di più Darwiniani possibili.
biospherealpha_primary3                Attiva i collegamenti tra i radar e usali per scortare i Darwiniani fino all'isola principale.
biospherealpha_primary4                Dovrai combattere contro alcune infezioni virali minacciose.
biospherealpha_primary5                Questa è l'ultima zona di cui occuparsi. Una volta raggiunta, i Darwiniani saranno salvi. Vorrei che tu ne portassi 100 in questo settore.


# ================================================
# Cutscene after Yard
# ================================================

yardend_1                              È triste constatare come i settori un tempo più popolati di Darwinia siano ora i più infetti.
yardend_1b                             Queste sono le aree che dobbiamo visitare.
yardend_2                              Dobbiamo fare un grande sforzo per riportare la popolazione di Darwinia alla sua potenza originaria e cacciare l'infezione virale una volta per tutte.
yardend_3                              Il deposito delle anime, al centro di Darwinia, è la chiave per l'evoluzione e il sistema di rinascita dei Darwiniani.
yardend_3b                             Le anime di tutte le creature morte finiscono per elevarsi fino al deposito, dove la loro esperienza e saggezza si uniscono a quelle del gruppo.
yardend_4                              Le anime vengono riordinate in base al grado di successo riscosso in vita e poi vengono rimandate al ricevitore, per farle rinascere in nuovi Darwiniani.

yardend_5                              Qui, al ricevitore, le anime che avevano riscosso successo in vita fluttuano dolcemente fin sulla terra, per ricevere una nuova opportunità.
yardend_6                              Le strutture che vedi indicate in questa area sono state ideate per raccogliere le anime e inviarle alla biosfera.
yardend_7                              Per i Darwiniani, questo è il luogo più sacro del mondo.
yardend_7b                             I Darwiniani vengono qui in pellegrinaggio nei primi anni di vita, per contribuire al processo di rinascita.
yardend_8                              Con questo metodo, ogni generazione di Darwiniani diviene adulta aiutando la generazione successiva a nascere.

yardend_9                              Quando un'anima ha trascorso un certo periodo di tempo nel deposito, perde gran parte della sua struttura originaria.
yardend_9b                             In pratica, un'anima dimentica cosa significa esistere in superficie.
yardend_10                             Queste anime devono essere riprogrammate, prima di rivivere tra i Darwiniani. Parte di questo processo avviene nella memoria buffer.

yardend_11                             La memoria buffer contiene il progetto di base di un Darwiniano.
