# =================================================
# Errors
# =================================================

error                                  Erreur
launchpad_tutorial_5_xin               L'ESCOUADE constitue votre première arme contre l'armée rouge. Créez une ESCOUADE en sélectionnant l'icône d'escouade au milieu de l'écran et en appuyant sur A.
launchpad_tutorial_5_error             Ce n'est pas la bonne icône. Réessayez.
launchpad_tutorial_6_kbd               Cliquez à l'intérieur de la zone mise en évidence pour placer votre nouvelle ESCOUADE.
launchpad_tutorial_6_xin               Pour placer votre nouvelle ESCOUADE, déplacez votre curseur dans la zone de départ mise en évidence et appuyez sur A.
launchpad_tutorial_7_kbd               Les escouades doivent être contrôlées directement. Cliquez avec le bouton gauche pour les faire progresser.
launchpad_tutorial_7_xin               Vous devez contrôler directement les escouades. Servez-vous du stick analogique gauche pour les déplacer.
launchpad_tutorial_8                   Servez-vous du stick analogique droit pour les faire tirer au laser. Orientez le stick analogique droit dans la direction vers laquelle vous souhaitez tirer.
launchpad_tutorial_8_kbd               Maintenez enfoncé le bouton droit de la souris pour qu'elle utilise ses lasers.
launchpad_tutorial_9                   Déplacez à présent votre escouade et occupez-vous de ces Virii. Ne les laissez pas trop s'approcher.
launchpad_tutorial_9_error             Votre escouade a été détruite. Ce n'est pas vraiment un problème, nous pouvons en créer une autre.
launchpad_tutorial_10                  Cet objet bleu constitue une partie de mes recherches. Il contient une arme que nous pouvons utiliser contre les Virii.
launchpad_tutorial_11_kbd              Nous devons créer un ingénieur pour capturer ces données de recherche. Maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY], puis cliquez sur le bouton d'ingénieur.
launchpad_tutorial_11_xin              Nous devons créer un ingénieur pour capturer ces données de recherche. Ouvrez le gestionnaire de programmes, sélectionnez le bouton d'ingénieur et appuyez sur A.
launchpad_tutorial_12                  Placez votre nouvel ingénieur près de votre escouade et déplacez-le près de l'objet.
launchpad_tutorial_12b                 Les ingénieurs ne sont que des outils de débug stupides, mais ils servent à plusieurs choses.
launchpad_tutorial_12c                 Vous pouvez voir que l'ingénieur récupère ces données.
launchpad_tutorial_12d                 Une fois qu'il en aura terminé, il téléchargera ces données dans mon système, et nous pourrons nous en servir.
launchpad_tutorial_12e                 Il se peut que vous trouviez d'autres données ici. Elles seraient d'un grand secours si vous parveniez à les récupérer.
launchpad_tutorial_13                  Fantastique, vous êtes parvenu à retrouver les grenades.
launchpad_tutorial_13b_kbd             Cliquez sur l'escouade existante pour la contrôler à nouveau. Ou vous pouvez autrement cliquer directement sur l'unité, ou appuyer sur la touche 1.
launchpad_tutorial_13b_xin             Mettez en évidence une escouade existante et appuyez sur A pour en reprendre le contrôle. Ou vous pouvez la sélectionner dans le gestionnaire de tâches ou encore passer d'une tâche active à une autre avec les gâchettes hautes droite et gauche.
launchpad_tutorial_14                  Pour lancer une grenade, appuyez sur la gâchette droite tout en tirant au laser. Plus vous orientez le stick analogique droit dans une direction et plus loin ira la grenade.
launchpad_tutorial_14_kbd              Tout en maintenant le bouton droit de la souris enfoncé, cliquez avec le bouton gauche pour lancer une grenade.
launchpad_tutorial_15                  Je vous recommande à présent de nettoyer ces Virii sur la colline avec les nouvelles armes de votre escouade.
launchpad_tutorial_16                  Nous devons atteindre le radar proche, aussi assurez-vous de tous les détruire.
launchpad_tutorial_17                  Cet construction est un radar. Ils servent à voyager d'une île à l'autre.
launchpad_tutorial_18                  Nous allons maintenant l'utiliser pour relier cette île à celle voisine, puis nous allons y envoyer l'escouade.
launchpad_tutorial_19                  Ce radar a malheureusement été infecté par le même virus que vous avez combattu.
launchpad_tutorial_20                  Un ingénieur doit reprogrammer ce radar pour le désinfecter. Nous pourrons ensuite l'utiliser.
launchpad_tutorial_21_kbd              Sélectionnez à nouveau votre ingénieur et déplacez-le près du radar pour qu'il le reprogramme. Cliquez sur son icône dans le gestionnaire de programmes pour le sélectionner, ou cliquez sur l'ingénieur directement.
launchpad_tutorial_21_xin              Sélectionnez à nouveau votre ingénieur et déplacez-le près du radar pour qu'il le reprogramme. Sélectionnez son icône dans le gestionnaire de programmes pour le resélectionner, ou sélectionnez-le directement.
launchpad_tutorial_22                  L'ingénieur peut accéder au radar par la tour de commande avoisinante. Il le reprogramme afin que nous puissions nous en servir.
launchpad_tutorial_23_kbd              OK, nous contrôlons à présent le radar. Désélectionnez votre ingénieur en appuyant sur [KEYUNITDESELECT], puis sélectionnez le radar en cliquant dessus.
launchpad_tutorial_23_xin              OK, nous contrôlons à présent le radar. Désélectionnez votre ingénieur en appuyant sur B, puis sélectionnez le radar en le mettant en évidence et en appuyant sur A.
launchpad_tutorial_24_kbd              Alignez maintenant le radar en cliquant sur le récepteur de l'autre île. J'ai mis en évidence ce récepteur. Vous pouvez effectuer un zoom avant avec la molette de la souris ou avec la touche [KEYCAMERAZOOM].
launchpad_tutorial_24_xin              Alignez maintenant le radar en visant le récepteur sur l'île lointaine et en appuyant sur A. J'ai mis en évidence le récepteur pour vous. Vous pouvez zoomer dessus en appuyant longuement sur la gâchette gauche.
launchpad_tutorial_25_kbd              Les deux radars devraient à présent être alignés, et nous pouvons envoyer notre escouade. Désélectionnez le radar en appuyant sur [KEYUNITDESELECT], puis sélectionnez à nouveau votre ESCOUADE.
launchpad_tutorial_25_xin              Les deux radars devraient à présent être alignés, et nous pouvons envoyer notre escouade. Désélectionnez le radar en appuyant sur B, puis sélectionnez à nouveau votre ESCOUADE.
launchpad_tutorial_26_kbd              Vous pouvez maintenant envoyer votre ESCOUADE par le radar en cliquant dessus lorsqu'elle est sélectionnée.
launchpad_tutorial_26_xin              Vous pouvez maintenant envoyer votre ESCOUADE par le radar en la déplaçant dans sa direction.

launchpad_tutorial_defend_1            Soyez prudent, il y a d'autres Virii tout proches.
launchpad_tutorial_defend_2            Défendez-vous !

launchpad_tutorial_40                  Cette construction est un incubateur. C'est un édifice très important sur Darwinia.
launchpad_tutorial_41                  Nous pouvons nous en servir pour convertir les esprits des créatures que vous venez de détruire en Darwiniens.
launchpad_tutorial_42                  Mais comme pour le radar, nous devons tout d'abord le reprogrammer afin d'en ôter l'infection.
launchpad_tutorial_43_kbd              Créez un ingénieur près de l'incubateur pour le reprogrammer. Maintenez simplement enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur la touche d'ingénieur. Ou appuyez sur la touche [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin              Créez un ingénieur près de l'incubateur pour le reprogrammer. Ouvrez simplement le gestionnaire de programmes et sélectionnez le bouton d'ingénieurs.
launchpad_tutorial_44                  L'incubateur étant opérationnel, l'ingénieur va collecter des esprits.
launchpad_tutorial_45                  Toutes les créatures de Darwinia ont un esprit. Que ce soit un Darwinien amical ou un virus.
launchpad_tutorial_46                  Les ingénieurs peuvent rassembler les esprits des créatures décédées et les déposer dans un incubateur pour qu'ils renaissent.
launchpad_tutorial_47                  Les incubateurs convertiront un par un les esprits en nouveaux Darwiniens.
launchpad_tutorial_48                  C'est la façon dont nous combattons le virus. Nous détruisons ses incarnations, collectons les esprits, et les convertissons en Darwiniens amicaux.
launchpad_tutorial_49                  Bon travail. Les premiers Darwiniens sont nés.
launchpad_tutorial_50                  Comme je le disais précédemment, ils sont incroyablement curieux, et je me suis fait un point d'honneur à les concevoir dotés du sens de la volonté propre.
launchpad_tutorial_51                  À la différence des escouades et des ingénieurs, nous ne pouvons pas les contrôler directement.
launchpad_tutorial_52                  Mais ils suivront les leurs. Nous pouvons donc les influencer à l'aide d'officiers.
launchpad_tutorial_53                  Le programme Officier est plus loin. Détruisez le virus l'environnant, et récupérez-le avec un ingénieur.
launchpad_tutorial_54                  Bien, pour vous informer du plan, j'essaie de réapprovisionner en carburant la fusée pour que les Darwiniens puissent à nouveau tenter de la faire décoller.
launchpad_tutorial_54b                 Nous aurons tôt ou tard affaire près de la fusée à ces mauvais Darwiniens rouges, mais nous devons tout d'abord la réapprovisionner en carburant.
launchpad_tutorial_55                  La plus grande partie du carburant a été gâchée durant l'attaque précédente et nous devons à nouveau faire le plein.
launchpad_tutorial_56                  Le carburant est généré par trois pompes à carburant autour de l'île principale. En voici une.
launchpad_tutorial_57                  Elles servent à extraire des matières premières des fonds marins et les transforment en un carburant pour fusée qui est amené jusqu'à ses réservoirs.
launchpad_tutorial_58                  Aucune des trois pompes ne fonctionne, malheureusement, et elles ont besoin d'énergie pour pouvoir opérer.
launchpad_tutorial_59                  Cette énergie est générée par ces panneaux solaires.
launchpad_tutorial_60                  Nous devons escorter des Darwiniens jusqu'à chacun de ces panneaux pour les faire fonctionner.
launchpad_tutorial_61                  Et le programme que vous avez récupéré nous permet d'y parvenir. Nous allons pouvoir guider les Darwiniens avec des officiers.
launchpad_tutorial_62_kbd              Maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY] et cliquez sur le bouton pour créer un officier. Ou vous pouvez appuyer sur [KEYICONSTASKMANAGERNEWOFFICER].
launchpad_tutorial_62_xin              Ouvrez le gestionnaire de programmes et sélectionnez le bouton pour créer un officier.
launchpad_tutorial_63_kbd              Nous devons à présent sélectionner un Darwinien pour le nommer officier. Cliquez sur n'importe lequel.
launchpad_tutorial_63_xin              Nous devons à présent sélectionner un Darwinien pour le nommer officier. Mettez en évidence un Darwinien et appuyez sur A pour le promouvoir.
launchpad_tutorial_64_kbd              Nous pouvons maintenant influencer les autres Darwiniens autour de nous. Cliquez avec le bouton droit de la souris sur l'officier pour le placer en ordre FOLLOW.
launchpad_tutorial_64_xin              Nous pouvons maintenant influencer les autres Darwiniens autour de nous. Mettez en évidence l'officier et appuyez sur la gâchette droite pour le mettre en mode SUIVRE.
launchpad_tutorial_65                  Ces Darwiniens suivront l'officier partout où il ira. Dans ce cas, nous avons rassemblé tous les Darwiniens environnants.
launchpad_tutorial_66_kbd              Cliquez avec le bouton droit de la souris près des panneaux solaires pour placer l'officier en ordre GOTO.
launchpad_tutorial_66_xin              Déplacez votre curseur près des panneaux solaires et appuyez sur la gâchette droite pour placer l'officier en mode GOTO.
launchpad_tutorial_67                  L'officier ordonne ainsi à tous les Darwiniens environnants de se rendre à cet endroit.
launchpad_tutorial_68                  Vous pouvez avoir autant d'officiers que vous voulez. Servez-vous-en à présent pour qu'ils ordonnent d'occuper les panneaux de contrôle à la base de chacun des trois panneaux solaires.
launchpad_tutorial_69                  Très bon travail. Le premier groupe de panneaux solaires fonctionne à nouveau.
launchpad_tutorial_70                  Tant que des Darwiniens les feront fonctionner, ils continueront à générer de l'énergie aussi longtemps que souhaité.
launchpad_tutorial_71                  La première pompe à carburant reçoit cette énergie et commence à extraire du carburant brut des fonds marins.
launchpad_tutorial_72                  L'océan est habité par un système éconumérique complet qui s'est développé depuis plus de dix ans, aussi ne manquerons-nous pas de matières minérales à la base du carburant.
launchpad_tutorial_73                  Et bien sûr, je ne l'avais pas compris. Ce sont les Darwiniens qui ont eu l'idée d'extraire les fonds marins pour obtenir du carburant.
launchpad_tutorial_74                  Vous pouvez voir la première partie du carburant être acheminée dans les réservoirs de la fusée.
launchpad_tutorial_75                  Mais passons.
launchpad_tutorial_76                  Deux autres pompes doivent encore être réactivées, nous devrions nous y atteler.
launchpad_tutorial_77                  Vous devriez probablement passer par-là ensuite.

launchpad_reprogram_1_kbd              Pour aligner ce radar, attendez d'abord qu'il ait été reprogrammé, puis désélectionnez votre programme actuel avec la touche [KEYUNITDESELECT].
launchpad_reprogram_1_xin              Pour aligner ce radar, attendez d'abord qu'il ait été reprogrammé, puis désélectionnez votre programme actuel en appuyant sur B.
launchpad_reprogram_2_kbd              Vous pouvez alors cliquer sur le radar et l'aligner en cliquant sur le radar récepteur.
launchpad_reprogram_2_xin              Vous pouvez alors sélectionner le radar avec A et l'aligner en prenant pour cible le radar récepteur et en appuyant à nouveau sur A.
launchpad_reprogram_3_kbd              Lorsque vous avez terminé, désélectionnez le radar en appuyant sur [KEYUNITDESELECT].
launchpad_reprogram_3_xin              Lorsque vous avez terminé, désélectionnez le radar en appuyant sur B.

launchpad_dgupgrade_1                  Vous avez découvert une partie de mes recherches en armes darwiniennes.
launchpad_dgupgrade_2                  Ceci nous permettra d'équiper nos Darwiniens verts avec les mêmes grenades que celles utilisées par les escouades.
launchpad_dgupgrade_3                  Nos Darwiniens auront beaucoup plus de chances contre ces Virii rouges maintenant qu'ils ont des grenades.

launchpad_finalintro_1                 Cette île est très fortement infectée par le virus.
launchpad_finalintro_2                 Souvenez-vous de capturer l'incubateur proche avec un ingénieur, et de collecter les esprits des morts tandis que vous les tuez.
launchpad_finalintro_3                 N'hésitez pas à vous servir de vos tout nouveaux Darwiniens pour combattre. Les officiers peuvent leur donner l'ordre d'attaquer.

launchpad_finalisland_1                Les trois pompes à carburant fonctionnent à présent parfaitement, et la fusée est réapprovisionnée. Bien joué.
launchpad_finalisland_2                Nous devons maintenant nous occuper du dernier problème. Nous devons attaquer et détruire les Darwiniens rouges qui occupent la rampe de lancement.
launchpad_finalisland_3                Ces constructions qu'ils ont parsemées sont appelées points d'apparition. Vous allez devoir en voler le contrôle à l'Armée rouge.
launchpad_finalisland_4                Ils peuvent être comparés à des incubateurs, sauf qu'ils fonctionnent automatiquement. Ils feront naître de nouveaux Darwiniens constamment, jusqu'à ce qu'une certaine population soit atteinte.
launchpad_finalisland_5                Ils sont actuellement sous le contrôle des Darwiniens rouges. Les Darwiniens apparaissant seront ainsi rouges.
launchpad_finalisland_6                Une fois que vous aurez capturé le premier de ces points d'apparition, vous commencerez à recevoir de nouveaux Darwiniens verts immédiatement.
launchpad_finalisland_7                Afin de capturer le premier point d'apparition, vous allez devoir apporter des Darwiniens verts amicaux par la liaison radar.
launchpad_finalisland_8                Les Darwiniens rouges vous attaqueront dès que vous leur volerez le premier point d'apparition. Faites attention.
launchpad_finalisland_9                Et bonne chance !

launchpad_reprogram2_1                 Alignez ce radar avec l'île centrale.
launchpad_reprogram2_2                 Vous pouvez maintenant faire passer des Darwiniens par cette liaison avec un officier.

launchpad_success_1                    Nous avons réussi !
launchpad_success_2                    Je souhaite vous remercier du fond du cœur.
launchpad_success_3                    Si vous voulez en apprendre davantage sur ce monde et sur la Grande Guerre, veuillez à présent acheter le jeu complet.
launchpad_success_4                    Au revoir, mon ami !

launchpad_success_5                    Venez, je vais vous montrer comment tout a commencé, le moment où Darwinia a changé à tout jamais.

launchpad_button_exitdemo              QUITTER DÉMO
launchpad_button_buynow                ACHETER

launchpad_buyme_1                      VOUS EN VOULEZ PLUS ?
launchpad_buyme_2                      Achetez Darwinia en ligne et
launchpad_buyme_3                      TÉLÉCHARGEZ LE JEU INSTANTANÉMENT !
launchpad_buyme_4                      Seul un téléchargement de 30Mb
launchpad_buyme_5                      se tient entre vous et le jeu complet.

launchpad_buyme_oberon_1a              VOUS EN VOULEZ 
launchpad_buyme_oberon_1b			   DAVANTAGE ?
launchpad_buyme_oberon_2               Achetez Darwinia maintenant et
launchpad_buyme_oberon_3               JOUEZ À LA VERSION COMPLÈTE IMMÉDIATEMMENT !


# ================================================
# END OF STRINGS FILE FOR DEMO
# All strings below this line will NOT
# be included in the DEMO build
# ================================================

demo_endoffile                         Non utilisé


# ================================================
# Garden
# ================================================

garden_intro_1                         Bon sang, mais qui êtes-vous ? Comment êtes-vous arrivé ici ?
garden_intro_2                         Je croyais m'être occupé de toutes les connexions externes.
garden_intro_3                         Très bien, si vous restez, autant vous rendre utile.
garden_intro_4                         Prenez le temps de trouver vos repères, puis aidez-moi à détruire ce virus.
garden_intro_5_kbd                     Si vous ne savez plus quoi faire, appuyez sur [KEYSEPULVEDAHELP] et je vous donnerai quelques indications.

garden_foundscroll_1                   Excellent travail ! Ces données vont maintenant être téléchargées sur mon ordinateur.
garden_foundscroll_2                   Malheureusement, une grande partie des données de mes recherches a été perdue il y a quelques heures lorsque ce virus s'est déclenché. Ainsi, vous pourriez bien en trouver d'autres plus tard.
garden_foundscroll_3                   Vous me seriez d'un grand secours si vous pouviez ordonner à des ingénieurs de télécharger les données de recherche que vous trouvez. Je suis très occupé à essayer d'arrêter ce fichu virus, et n'ai pas le temps de m'en occuper moi-même.

garden_souls_1                         Vous avez sans doute remarqué que les Virii laissent de petites choses rouges lorsque vous les tuez. Il s'agit d'ADN numériques… Des esprits numériques, si vous permettez l'expression.
garden_souls_2                         Chaque créature vivant sur Darwinia possède son propre esprit numérique. Ils étaient à la base conçus pour les Darwiniens, mais le virus a avalé la plupart d'entre eux à présent.
garden_opentrunkport_1                 Nous allons devoir partir d'ici avant de pouvoir régler ce problème. J'ai besoin que vous ouvriez ce point de passage.
garden_opentrunkport_2                 Il est muni d'une tour de commande standard. Vous pouvez ainsi envoyer un ingénieur le reprogrammer et nous pourrons l'utiliser.


# ================================================
# Cutscene after Garden
# ================================================

gardenfinished_1                       Je suis navré si j'ai été impoli durant mon accueil, mais ces dernières heures ont été très éprouvantes.
gardenfinished_2                       Je suis le docteur Sepulveda et suis à l'origine du projet de vie numérique darwinienne. D'ordinaire, je vous accueillerais avec les meilleurs égards et vous ferais visiter, mais j'ai bien peur que les choses aient mal tourné aujourd'hui et une visite guidée n'est guère de mise.
gardenfinished_3                       J'ai besoin que vous m'aidiez à ouvrir certains des secteurs infectés. L'Endiguement est un genre de monde central. Allez-y et je vous expliquerai davantage une fois que vous serez connecté.


# ================================================
# Containment field
# ================================================

containment_primary_1                  Nous devons reconstruire la population darwinienne. Les incubateurs sont la clef de cette reconstruction.
containment_primary_2                  Nettoyez l'infection virale à l'extérieur de la zone protégée, puis servez-vous d'ingénieurs pour collecter les esprits des Virii morts et les transporter jusqu'aux incubateurs.
containment_primary_3                  Il y a trois incubateurs ici, et ils convertiront les esprits des ennemis battus en Darwiniens.
containment_primary_4                  Nommez certains Darwiniens officiers, et utilisez-les pour escorter les Darwiniens restants à l'intérieur de la zone protégée.
containment_primary_5                  Je veux que vous secouriez ainsi au moins 150 darwiniens, afin d'être sûr de ne pas en manquer. Les Darwiniens seront en sécurité dans la zone protégée, du moins pour l'instant.

containment_intro1                     Lorsque le virus s'est déclenché, j'ai eu beaucoup de mal à le maîtriser.
containment_intro1b                    J'ai du fermer le système de points de passage reliant tous les secteurs de Darwinia.
containment_intro2                     C'est le seul emplacement où j'ai pu restreindre l'avancée du virus. Le double bouclier est une barrière formidable.
containment_intro3                     J'ai mis en évidence les trois points de passage inactifs de cette île, et vous allez devoir ouvrir chacun d'entre eux.
containment_intro3b                    Une fois ouverts, les points de passage nous donneront accès à d'importants secteurs.
containment_rescuedw1                  Mais notre préoccupation principale reste les Darwiniens.
containment_rescuedw1b                 J'ai passé la majeure partie des dix dernières années à les faire évoluer, et j'en suis extrêmement fier.
containment_rescuedw2                  Si le virus avait totalement réussi, ils seraient déjà tous morts. Mais je suis parvenu à en sauver quelques-uns.
containment_rescuedw2b                 Plus de dix milles générations de Darwiniens se sont écoulées, et la perte que leur disparition engendrerait, ne serait-ce que dans le champ de l'intelligence artificielle, est incalculable.
containment_rescuedw3                  Ils sont une incroyable création. Chaque Darwinien possède son propre esprit numérique qui occupe son corps pendant sa vie, puis retourne à la mémoire morte après son trépas.
containment_rescuedw4                  Vous allez m'aider à reconstruire leurs rangs. Et je vous aiderai dans cette tâche. Pour l'heure, commencez à nettoyer l'infection virale à l'extérieur de la zone protégée.

containment_incubator_1                L'incubateur fonctionne ! Parfait. Les Ingénieurs vont collecter les esprits environnants des créatures mortes et les y laisser.
containment_incubator_2                Ces esprits vont être reconvertis en Darwiniens, un par un. C'est ainsi que nous allons reconstruire la population darwinienne.
containment_incubator_3                Malheureusement, j'ai conçu le système de façon à ce que les Darwiniens soient dotés d'une volonté propre. Ce qui veut dire que nous ne pouvons pas les contrôler directement, comme vous le feriez avec une escouade.
containment_incubator_4                Mais nous pouvons les influencer autrement. Continuez à nettoyer l'infection et à rassembler les esprits… je vous contacterai à nouveau.

containment_officer_1                  Fantastique, vous avez trouvé mon programme Officier. Ce petit programme pratique va vous permettre de nommer officiers des Darwiniens, et d'utiliser ces officiers pour donner des ordres aux Darwiniens proches.
containment_officer_2_kbd              Pour créer un officier, dessinez cette figure puis cliquez sur le Darwinien que vous souhaitez promouvoir.
containment_officer_2_xin              Pour créer un officier, dessinez cette figure puis sélectionnez le Darwinien que vous souhaitez promouvoir.
containment_officer_2_icons_kbd        Pour créer un officier, affichez le gestionnaire de programmes et cliquez sur l'icône d'officier. Puis cliquez sur le Darwinien que vous souhaitez promouvoir.
containment_officer_2_icons_xin        Pour créer un officier, affichez le gestionnaire de programmes et sélectionnez l'icône d'officier. Puis sélectionnez le Darwinien que vous souhaitez promouvoir.
containment_officer_3                  Les Darwiniens qui sont nés jusqu'alors ne sont pas en sécurité… Je veux que vous les déplaciez sous l'arbre à l'intérieur de la zone protégée mise en évidence. Utilisez pour ce faire le programme Officier.

containment_rescuedws_1                Bon travail, certains Darwiniens ont atteint la zone sécurisée. Mais ce n'est pas assez. Si nous voulons refaire fonctionner Darwinia, nous allons en avoir besoin davantage.
containment_rescuedws_2                Je pense que nous devrions tenter de rassembler à peu près 150 Darwiniens dans la zone sécurisée. Nettoyez l'infection sur les îles voisines, rassemblez les esprits, et escortez les Darwiniens dans cette zone jusqu'à ce qu'il y en ait assez.

containment_objective_2                Secourir 150 Darwiniens

containment_finished_1                 Je pense qu'il y a à présent assez de Darwiniens dans la zone sécurisée.


# ================================================
# Cutscene after containment
# ================================================

containmentend_1                       J'ai travaillé à la conception d'une plate-forme d'armes dont pourraient se servir les Darwiniens pour combattre le virus.
containmentend_1b                      Il reste encore beaucoup à faire, mais nous pouvons construire ces armes sur Darwinia.
containmentend_2                       Darwinia est déjà dotée d'un important système de construction, mais comme le reste, il ne fonctionne pas.
containmentend_2b                      Le système repose sur trois secteurs. La Mine, le Générateur, et le Dépôt.
containmentend_3                       Laissez-moi vous montrer les mines en premier.

containmentend_mine1                   Ce secteur est une installation minière géante, malheureusement occupée par ce fichu virus.
containmentend_mine1b                  Des polygones bruts sont extraits des coteaux et placés dans les chariots mobiles.
containmentend_mine2                   Puis ces polygones passent par cette raffinerie qui les convertit en primitifs.
containmentend_mine3                   J'ai conçu ce monde de façon à ce que le Darwiniens le possèdent et le fassent fonctionner entièrement. Toutes ces constructions nécessitent des Darwiniens pour pouvoir opérer.
containmentend_mine3b                  Des générations entières de mineurs darwiniens ont travaillé dans ces exploitations avant que le virus ne survienne.
containmentend_mine4                   Mais passons.
containmentend_mine5                   Une fois que les primitifs ont été raffinés, ils doivent être transportés jusqu'au dépôt de construction pour pouvoir être utilisés.

containmentend_5                       Cette mine produit ainsi des primitifs raffinés et les envoie au dépôt.
containmentend_5b                      Le dépôt a également besoin d'énergie, qui est fournie par le générateur.

containmentend_generator1              Voici le générateur. L'énergie qui fait fonctionner Darwinia y est produite et régulée.
containmentend_generator1b             Les panneaux solaires répartis dans ce secteur exploitent l'énergie diffusée par la mémoire morte au centre de Darwinia.
containmentend_generator2              Comme la plupart des constructions de Darwinia, ces panneaux solaires nécessitent des Darwiniens à leur base pour pouvoir fonctionner.
containmentend_generator3              Voici le générateur d'énergie principal.
containmentend_generator3b             Il module l'énergie des panneaux solaires en courant d'énergie utilisable.
containmentend_generator4              Ce courant passe ensuite par le point de passage menant au dépôt de construction.
containmentend_generator5              Ce point de passage ne fonctionne malheureusement pas. Nous allons ainsi devoir le réactiver depuis l'autre côté, une fois que nous atteindrons le dépôt.

containmentend_6                       Ainsi le générateur produit l'énergie.
containmentend_6b                      Le dépôt reçoit l'énergie et les primitifs, et c'est là où nous construirons la nouvelle plate-forme d'armes.
containmentend_7                       Si vous avez besoin d'aide pour accomplir ces tâches, ouvrez l'écran Objectifs.
containmentend_7_kbd                   Si vous avez besoin d'aide pour accomplir ces tâches, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et placez votre souris sur la droite pour accéder à l'écran Objectifs.
containmentend_7_icons                 Si vous avez besoin d'aide pour accomplir ces tâches, ouvrez l'écran Objectifs.
containmentend_7_icons_kbd             Si vous avez besoin d'aide pour accomplir ces tâches, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et placez votre souris en bas pour accéder à l'écran Objectifs.
containmentend_7b_kbd                  ...Vous pouvez y cliquer sur un objectif et je ferai de mon mieux pour le clarifier.
containmentend_7b_xin                  ...Vous pouvez y sélectionner un objectif et je ferai de mon mieux pour le clarifier.
containmentend_8                       Bonne chance !


# ================================================
# Purity Control
# ================================================

puritycontrol_1                        OK, il est maintenant temps de nous dévoiler. Nous savons que vous n'avez pas payé pour ce jeu et que vous l'avez téléchargé sur Internet.
puritycontrol_2                        C'est compréhensible, nous n'allons pas vous juger pour ça, et nous savons que ce n'est pas pareil que de voler quelque chose dans un magasin.
puritycontrol_3                        Mais ce jeu a été conçu par une minuscule équipe de développeurs indépendants qui a travaillé 3 ans pour le terminer.
puritycontrol_4                        Introversion Software ne survivra pas et nous ne pourrons plus faire de jeux comme Darwinia et Uplink si tout le monde les pirate au lieu de les acheter.
puritycontrol_5                        Si vous avez aimé jouer au jeu jusqu'à présent, nous aimerions vous demander de passer par notre site Internet et d'acheter la version complète.
puritycontrol_6                        Merci beaucoup pour jouer à Darwinia, et nous espérons sincèrement que vous déciderez de faire le bon choix.


# ================================================
# Generator
# ================================================

generator_objective1                   Générer 65 Gq/s d'énergie

generator_primary_1                    Cet édifice est le générateur d'énergie principal. Il fournit de l'énergie à chaque secteur et à chaque construction de ce monde.
generator_primary_2                    Nous allons commencer à construire des choses nous servant à combattre cette invasion, et nous allons avoir besoin de beaucoup plus d'énergie.
generator_panels_1                     Il y a trois groupes de panneaux solaires sur ces terres. Comme la plupart des constructions ici, des Darwiniens doivent opérer à leur base pour les faire fonctionner.
generator_panels_2                     Une fois qu'ils fonctionneront, ils exploiteront l'énergie émanant de la mémoire morte au centre de Darwinia.
generator_panels_3                     Cette énergie est ensuite transférée par des pylônes jusqu'au générateur principal, où elle est modulée sous une forme utile à la construction.
generator_panels_4                     Nous allons devoir atteindre un flux constant d'au moins 65 Gigaquads par seconde pour pouvoir accomplir quelque chose de conséquent.
generator_panels_5                     Ce point de passage transfère d'habitude l'énergie modulée jusqu'au dépôt de construction.
generator_panels_6                     Mais nous ne pouvons malheureusement pas y accéder par ici, et nous allons devoir l'ouvrir de l'autre côté, depuis le dépôt de construction.
generator_panels_7                     Nous nous préoccuperons de ce point plus tard.


# ================================================
# Cutscene after Mine and Generator
# ================================================

yard_available_1                       OK, j'ai terminé les plans de la plate-forme d'armes et les ai téléchargés dans le système.
yard_available_2                       Venez dans le dépôt lorsque vous êtes prêt. Nous allons devoir le faire fonctionner et commencer la production immédiatement.


# ================================================
# Construction Yard
# ================================================

yard_objective_1                       Activer le point de passage du générateur
yard_objective_2                       Commencer la production de blindés
yard_objective_3                       Détruire l'infection de fourmis

yard_intro_1                           Voici le dépôt de construction. J'ai pu ici amorcer le programme de production de virtuellement toutes les constructions de Darwinia.
yard_intro_2                           Les Darwiniens utilisent parfois le dépôt pour construire d'eux-mêmes lorsqu'ils pensent que je ne suis pas là. Je vous montrerais bien si j'en avais le temps.
yard_intro_3                           Mais nous allons devoir remettre ceci à plus tard.
yard_genport_1                         Comme vous vous souvenez, nous ne pouvions pas ouvrir le point de passage depuis le générateur.
yard_genport_2                         Vous allez devoir ouvrir cette connexion depuis ce côté pour permettre au courant d'énergie régulé de parvenir jusqu'ici.
yard_intro_4                           Ce dépôt de construction déplace les chariots miniers. Les primitifs raffinés arriveront de la mine lorsque les chariots bougeront.
yard_intro_5                           Le dépôt récupérera les primitifs raffinés et le courant d'énergie régulé, et commencera à produire notre plate-forme d'armes, que j'ai appelée blindé.
yard_intro_6                           Ce que j'ai conçu est un genre de transporteur de troupes blindé qui peut être converti en canon de bataille, que les Darwiniens ou vous-même pouvez utiliser.
