# =================================================
# Errors
# =================================================

error                                  Fehler
launchpad_intro_11                     Die Roten Darwinianer greifen an!
launchpad_intro_12                     Mein Gott, sie versuchen die Rakete zu zerstören!
launchpad_intro_13                     Das ist Wahnsinn, sie werden eine Explosion verursachen, die alle Darwinianer im Innern töten wird.
launchpad_intro_14                     Mein Gott.
launchpad_intro_15                     Ich kann's nicht glauben.

launchpad_middemo_1                    Darwinia war nicht immer so.
launchpad_middemo_2                    Ich kann mich noch gut an die Zeit vor dem Einfall der Viren erinnern, bevor der Große Krieg diese Welt beinahe vernichtet hat.
launchpad_middemo_3                    Die Darwinianer kämpften so hart und hatten so viele Erfolge zu verzeichnen, dass ich tatsächlich glaubte, wir hätten die Infektion bezwungen.
launchpad_middemo_4                    Doch jetzt scheint es, dass jedes Mal, wenn ich nicht gerade aufpasse, an einer neuen Stelle eine Infektion ausbricht, die mehr Darwinianern das Leben kostet.
launchpad_middemo_5                    Die Kontrolle, die die Darwinianer jetzt über ihre Welt haben, ist erstaunlich.
launchpad_middemo_6                    Die Startrampe ist eine der vielen Orte in Darwinia, aber es ist die erste, den die Darwinianer ganz allein gebaut haben.
launchpad_middemo_8                    Sieh nur, was sie erreicht haben!
launchpad_middemo_9                    Der Renderer wusste mit dem, was außerhalb der Grenzen der Welt lag, nichts anzufangen ... es war ganz einfach ein leerer Raum.
launchpad_middemo_10                   Doch die Darwinianer wussten, dass da etwas war. Sie manipulierten das Rendering-Subsystem so lange, bis sie über ihre eigene Welt hinaussehen konnten.
launchpad_middemo_11                   Diese Sternensysteme sind andere Großrechner und Server im Internet, die alle über ein gigantisches World-Wide-Web verbunden sind.
launchpad_middemo_12                   Jetzt weiß ich, dass es ihre Absicht ist, die Millionen von Computersystemen, die sie um sich herum sehen können, zu erforschen.
launchpad_middemo_13                   Das große Raketenprojekt wird ihre größte Errungenschaft sein, und es wird ihnen den Horizont zu allen Computersystemen der Welt eröffnen.
launchpad_middemo_14                   Wenn nicht dieser Virus dazwischen gefunkt hätte, wären sie jetzt da draußen.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                   Klar, wir müssen den Darwinianern helfen.
launchpad_tutorial_2_kbd               Als erstes der Gebrauch der Kamera. Benutze [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] und [KEYCAMERARIGHT] für die Kamerabewegung.
launchpad_tutorial_2_xin               Als erstes der Gebrauch der Kamera. Bewege die Kamera mit dem Ministick links umher.
launchpad_tutorial_3                   Um die Kamerahöhe zu ändern, drückst du das Steuerkreuz oben oder unten.
launchpad_tutorial_3_kbd               Um die Höheneinstellung zu verändern, scrollst du mit der mittleren Maustaste hoch oder runter. Die gleiche Funktion erfüllen [KEYCAMERAUP] und [KEYCAMERADOWN].
launchpad_tutorial_4_kbd               Zur Bekämpfung der Roten Gefahr müssen wir ein paar Angriffseinheiten erstellen. Festhalten von [KEYICONSTASKMANAGERDISPLAY] öffnet den Task Manager.
launchpad_tutorial_4_xin               Zur Bekämpfung der Roten Gefahr müssen wir ein paar Angriffseinheiten erstellen. Drücke die X-Taste, um den Task Manager zu öffnen.
launchpad_tutorial_5_kbd               Der TRUPP ist deine Hauptwaffe gegen die böse Rote Armee. Du erstellst einen TRUPP, indem du auf das Trupp-Symbol in der Mitte des Bildschirms klickst, während der Task Manager geöffnet ist.
launchpad_tutorial_5_xin               Der TRUPP ist deine Hauptwaffe gegen die böse Rote Armee. Du erstellst einen TRUPP, indem du das Trupp-Symbol in der Mitte des Bildschirms wählst, während der Task Manager geöffnet ist, und A drückst.
launchpad_tutorial_5_error             Halt, das ist das falsche Symbol. Versuch's nochmals.
launchpad_tutorial_6_kbd               Um den neuen TRUPP in die Welt zu platzieren, klickst du im Innern des markierten Anfangsbereichs.
launchpad_tutorial_6_xin               Um den neuen TRUPP in die Welt zu platzieren, bewegst du den Cursor in den markierten Startbereich bewegst und die A-Taste drückst.
launchpad_tutorial_7_kbd               Trupps müssen direkt gesteuert werden. Klicke mit der linken Maustaste, um sie in der Landschaft umher zu führen.
launchpad_tutorial_7_xin               Trupps müssen direkt gesteuert werden. Bewege sie mit dem Ministick links herum.
launchpad_tutorial_8                   Mit dem Ministick rechts schießt du ihre Laser ab. Bewege den Ministick rechts in die Richtung, in die du schießen möchtest.
launchpad_tutorial_8_kbd               Halte die rechte Maustaste gedrückt, um ihre Laser abzufeuern.
launchpad_tutorial_9                   Jetzt kannst du mit deinem Trupp die in der Nähe befindlichen Virii auslöschen. Pass auf, dass sie Dir nicht zu nahe kommen!
launchpad_tutorial_9_error             Sieht aus, als sei dein Trupp vernichtet worden. Keine Sorge, wir können einen anderen erstellen.
launchpad_tutorial_10                  Das blau glühende Objekt da vorn ist ein Teil meiner Forschung. Es enthält eine Waffe, die wir gegen die Roten Virii einsetzen können.
launchpad_tutorial_11_kbd              Um diese Forschung zu erlangen, müssen wir einen Ingenieur erstellen. Halte [KEYICONSTASKMANAGERDISPLAY] und klicke dann auf die Ingenieur-Taste.
launchpad_tutorial_11_xin              Um diese Forschung zu erlangen, müssen wir einen Ingenieur erstellen. Öffne den Task Manager, wähle die Ingenieur-Taste und drücke die A-Taste.
launchpad_tutorial_12                  Platziere den neuen Ingenieur neben deinen Trupp und bewege ihn zu dem Forschungsobjekt.
launchpad_tutorial_12b                 Ingenieure sind nichts weiter als Debugging-Werkzeuge, aber sie haben verschiedene nützliche Funktionen.
launchpad_tutorial_12c                 Hier kannst du zusehen, wie der Ingenieur das Forschungsobjekt aufnimmt.
launchpad_tutorial_12d                 Er wird es in mein System laden, und dann können wir es nutzbringend anwenden.
launchpad_tutorial_12e                 Möglicherweise findest du noch andere Forschungsobjekte in der Gegend herumliegen. Es wäre gut, du könntest sie für mich einsammeln.
launchpad_tutorial_13                  Fantastisch, du hast es geschafft, die Granate zurückzuerobern.
launchpad_tutorial_13b_kbd             Klicke auf den Trupp, um die Steuerung wieder zu übernehmen. Stattdessen kannst du auch im Task Manager darauf klicken oder 1 drücken.
launchpad_tutorial_13b_xin             Wähle den Trupp und drücke die A-Taste, um ihm die Steuerung wieder zu übergeben. Stattdessen kannst du ihn auch im Task Manager wählen oder zwischen deinen aktiven Aufgaben wechseln, indem du den Bumper links bzw. Bumper rechts drückst.
launchpad_tutorial_14                  Um eine Granate zu werfen, ziehst du den Schalter rechts, während du deine Laser abfeuerst. Je weiter du den Ministick rechts bewegst, desto weiter wirfst du die Granate.
launchpad_tutorial_14_kbd              Halte die rechte Maustaste gedrückt, um den Laser zu feuern, und klicke dann mit der linken Maustaste, um eine Granate zu werfen.
launchpad_tutorial_15                  Jetzt würde ich Dir empfehlen, mit deinem Trupp die Virii auf der anderen Seite des Hügels mit deinen neuen Waffen zu vernichten.
launchpad_tutorial_16                  Wir müssen zu dem Radarschirm in der Nähe, also pass auf, dass du sie auch wirklich alle erwischst.
launchpad_tutorial_17                  Dieses Gebäude ist ein Radarschirm. Radarschirme können für Reisen zwischen zwei Inseln benutzt werden.
launchpad_tutorial_18                  Wir werden ihn benutzen, um eine neue Verbindung zur Nachbarinsel zu eröffnen. Dann können wir den Trupp dahin schicken.
launchpad_tutorial_19                  Leider ist der Radarbildschirm durch den gleichen roten Virus verseucht, den du bekämpft hast.
launchpad_tutorial_20                  Um ihn zu benutzen, müssen wir den Ingenieur dazu bringen, ihn umzuprogrammieren, um die Infektion loszuwerden.
launchpad_tutorial_21_kbd              Klicke auf den Trupp, um die Steuerung wieder zu übernehmen. Stattdessen kannst du auch im Task Manager darauf klicken oder 1 drücken.
launchpad_tutorial_21_xin              Wähle deinen Ingenieur aus und bewege ihn zum Radarschirm, um ihn umzuprogrammieren. Wähle sein Symbol im Task Manager oder ihn direkt.
launchpad_tutorial_22                  Der Ingenieur kann den Radarschirm über den in der Nähe gelegenen Kontrollturm erreichen. Er programmiert ihn jetzt um, damit wir ihn verwenden können.
launchpad_tutorial_23_kbd              OK, der Radarschirm ist jetzt unter unserer Kontrolle. Wähle deinen Ingenieur wieder ab, indem du [KEYUNITDESELECT] drückst, und klicke dann auf den Radarschirm.
launchpad_tutorial_23_xin              OK, der Radarschirm ist jetzt unter unserer Kontrolle. Wähle deinen Ingenieur wieder ab und wähle dann den Radarschirm, indem du ihn markierst und die A-Taste drückst.
launchpad_tutorial_24_kbd              Richte jetzt den Radarschirm aus, indem du auf den Empfänger auf der entfernten Insel klickst. Ich habe den Empfänger extra für Dich markiert. Du kannst mit der mittleren Maustaste oder mit [KEYCAMERAZOOM] die Zoomfunktion einschalten.
launchpad_tutorial_24_xin              Richte jetzt den Radarschirm aus, indem du den Empfänger auf der entfernten Insel wählst und die A-Taste drückst. Ich habe den Empfänger extra für dich markiert. Du kannst heranzoomen, indem du den Schalter links ziehst und festhältst.
launchpad_tutorial_25_kbd              Die Radarschirme sollten jetzt ausgerichtet sein, und wir können unseren Trupp transportieren. Wähle den Radarschirm mit [KEYUNITDESELECT] ab und wähle deinen TRUPP.
launchpad_tutorial_25_xin              Die Radarschirme sollten jetzt ausgerichtet sein, und wir können unseren Trupp transportieren. Wähle den Radarschirm ab, indem du die B-Taste wählst, und wähle deinen TRUPP.
launchpad_tutorial_26_kbd              Du kannst jetzt den TRUPP über den Radarschirm transportieren, indem du darauf klickst, während der Trupp ausgewählt ist.
launchpad_tutorial_26_xin              Du kannst jetzt den TRUPP über den Radarschirm transportieren, indem du ihn einfach darauf zu bewegst.

launchpad_tutorial_defend_1            Sei vorsichtig, es befinden sich noch Virii in der Nähe.
launchpad_tutorial_defend_2            Verteidige Dich!

launchpad_tutorial_40                  Dieses Gebäude ist ein Inkubator. Das ist eine wichtige Anlage in Darwinia.
launchpad_tutorial_41                  Er dient dazu, die Seelen der Getöteten in Darwinianer zu verwandeln.
launchpad_tutorial_42                  Aber genau wie beim Radarschirm müssen wir ihn erst umprogrammieren, um ihn von der Infektion zu befreien.
launchpad_tutorial_43_kbd              Erstelle einen Ingenieur in der Nähe des Inkubators, um diesen umzuprogrammieren. Halte [KEYICONSTASKMANAGERDISPLAY] gedrückt und klicke auf die Ingenieur-Taste. Oder drücke [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin              Erstelle einen Ingenieur in der Nähe des Inkubators, um diesen umzuprogrammieren. Wähle einfach den Task Manager und wähle die Ingenieur-Taste.
launchpad_tutorial_44                  Jetzt, da der Inkubator in Betrieb ist, kannst du sehen, wie der Ingenieur Seelen sammelt.
launchpad_tutorial_45                  Alle Geschöpfe auf dieser Welt haben eine Seele, unabhängig davon, ob es Darwinianer sind oder feindliche Viren.
launchpad_tutorial_46                  Die Ingenieure können die Seelen der toten Kreaturen sammeln und sie im Inkubator zu neuem Leben erwecken.
launchpad_tutorial_47                  Der Inkubator wandelt eine Seele nach der anderen in einen neuen Darwinianer um.
launchpad_tutorial_48                  Auf diese Weise bekämpfen wir den Virus: Wir zerstören seine bösartige rote Form, nehmen seine Seele und verwandeln sie in einen guten Darwinianer.
launchpad_tutorial_49                  Gute Arbeit - die ersten Darwinianer sind geboren worden.
launchpad_tutorial_50                  Wie ich schon sagte, sie sind furchtbar neugierig, und ich habe sie mit einem freien Willen ausgestattet.
launchpad_tutorial_51                  Deshalb können wir sie nicht wie die Teammitglieder oder die Ingenieure direkt steuern.
launchpad_tutorial_52                  Sie hören nur auf ihresgleichen - d.h. wir können sie über ihre Offiziere beeinflussen.
launchpad_tutorial_53                  Meine Forschungsergebnisse zum Offiziers-Programm liegen da vorn. Vernichte den Virus darum herum und nimm die Ergebnisse mithilfe eines Ingenieurs an Dich.
launchpad_tutorial_54                  Ich verrate Dir gern, was ich vorhabe: Ich will die Rakete mit Treibstoff füllen, damit die Darwinianer einen neuen Raketenstart versuchen können.
launchpad_tutorial_54b                 Irgendwann werden wir die bösen roten Darwinianer bei der Rakete konfrontieren müssen, aber zuerst müssen wir auftanken.
launchpad_tutorial_55                  Der meiste Treibstoff wurde in einem früheren Angriff verbrannt, deshalb müssen wir den Tank auffüllen.
launchpad_tutorial_56                  Der Raketentreibstoff wird durch die drei Pumpen generiert, die sich auf der Hauptinsel befinden. Hier ist eine davon.
launchpad_tutorial_57                  Sie pumpen Rohöl vom Meeresgrund und gewinnen daraus Raketentreibstoff, der dann in die Raketentanks geleitet wird.
launchpad_tutorial_58                  Leider stehen derzeit alle drei Pumpen außer Betrieb. Sie brauchen Strom.
launchpad_tutorial_59                  Dieser wird von diesen Solarpaneelen generiert.
launchpad_tutorial_60                  Damit die Solarpaneele funktionieren, müssen sie von ein paar Darwinianern bedient werden.
launchpad_tutorial_61                  Die Forschungsergebnisse, die du gerade gefunden hast, werden uns helfen. Wir können die Offiziere dazu bringen, die Darwinianer dorthin abzuordern.
launchpad_tutorial_62_kbd              Halte [KEYICONSTASKMANAGERDISPLAY] und klicke auf die Taste, um einen Offizier zu erstellen. Oder klicke auf [KEYICONSTASKMANAGERNEWOFFICER].
launchpad_tutorial_62_xin              Öffne den Task Manager und wähle die Taste, um einen Offizier zu erstellen.
launchpad_tutorial_63_kbd              Jetzt müssen wir einen Darwinianer auswählen, den wir zum Offizier befördern können. Klicke auf einen dieser Darwinianer, um ihn zu befördern.
launchpad_tutorial_63_xin              Jetzt müssen wir einen Darwinianer auswählen, den wir zum Offizier befördern können. Markiere einen dieser Darwinianer und drücke die A-Taste, um ihn zu befördern.
launchpad_tutorial_64_kbd              Auf diese Weise können wir die Darwinianer um uns herum beeinflussen. Rechtsklicke auf den Offizier, um ihn in den FOLGEN-Modus zu versetzen.
launchpad_tutorial_64_xin              Auf diese Weise könen wir die Darwinianer um uns herum beeinflusssen. Markiere den Offizier und drücke den Schalter rechts, um ihn in den FOLGEN-Modus zu versetzen.
launchpad_tutorial_65                  Die Darwinianer folgen jetzt dem Offizier, wo immer er hingeht. In diesem Fall haben wir alle Darwinianer aus der Umgebung versammelt.
launchpad_tutorial_66_kbd              Rechtsklicke neben den Solarpaneelen, um den Offizier in GEHEZU-Modus zu versetzen.
launchpad_tutorial_66_xin              Bewege deinen Cursor neben die Solarpanele und ziehe den Schalter rechts, um den Offizier in GEHEZU-Modus zu versetzen.
launchpad_tutorial_67                  Der Offizier befiehlt allen in der Nähe befindlichen Darwinianern, sich dorthin zu begeben.
launchpad_tutorial_68                  Du kannst beliebig viele Offiziere erstellen. Setzte die Offiziere ein, um die Kontrollpulte an der Basis der drei Solarpaneele zu besetzen.
launchpad_tutorial_69                  Ausgezeichnete Arbeit. Der erste Satz von Solarpaneelen ist in Betrieb.
launchpad_tutorial_70                  So lange sie von Darwinianern bedient werden, generieren sie Strom, so viel wir brauchen.
launchpad_tutorial_71                  Die erste Treibstoffpumpe bezieht jetzt Strom und beginnt, Rohöl aus dem Meer zu pumpen.
launchpad_tutorial_72                  Im Meer befindet sich seit über 10 Jahren ein ganzes digitales Ökosystem; es gibt also genug Mineralien, die sich zu Treibstoff verwerten lassen.
launchpad_tutorial_73                  Natürlich, daran hatte ich nicht gedacht. Die Darwinianer hatten die Idee, Treibstoff vom Meeresgrund zu verwenden.
launchpad_tutorial_74                  Du kannst jetzt sehen, wie der erste Treibstoff in die Raketentanks gelangt.
launchpad_tutorial_75                  Wie dem auch sei.
launchpad_tutorial_76                  Es gibt noch zwei weitere Pumpen, die in Betrieb gesetzt werden müssen. Also lass uns weitermachen.
launchpad_tutorial_77                  Wahrscheinlich gehst du jetzt am besten in diese Richtung.

launchpad_reprogram_1_kbd              Zum Ausrichten dieses Radarschirms wartest du, bis er neu programmiert ist, dann schaltest du deine aktuelle Aufgabe durch Drücken der [KEYUNITDESELECT] ab.
launchpad_reprogram_1_xin              Zum Ausrichten dieses Radarschirms wartest du, bis er neu programmiert ist, dann schaltest du deine aktuelle Aufgabe ab, indem du die B-Taste drückst.
launchpad_reprogram_2_kbd              Du kannst auf den Radarschirm klicken und ihn ausrichten, indem du auf den Ziel-Radarschirm klickst.
launchpad_reprogram_2_xin              Du kannst dann den Radarschirm mit der A-Taste auswählen und ihn ausrichten, indem du den Ziel-Radarschirm wählst und die A-Taste drückst.
launchpad_reprogram_3_kbd              Danach wählst du den Radarschirm ab, indem du auf [KEYUNITDESELECT] klickst.
launchpad_reprogram_3_xin              Danach wählst du den Radarschirm ab, indem du die B-Taste drückst.

launchpad_dgupgrade_1                  Du hast etwas von meiner Forschungsarbeit zu den Waffen der Darwinianer entdeckt!
launchpad_dgupgrade_2                  Diese Ergebnisse befähigen uns, die grünen Darwinianer mit den gleichen Granaten auszustatten wie sie unsere Trupps benutzen.
launchpad_dgupgrade_3                  Mit diesen Granaten haben unsere Darwinianer eine wesentlich bessere Chance gegen die bösen roten Virii.

launchpad_finalintro_1                 Auf dieser Insel ist eine starke Vireninfektion ausgebrochen.
launchpad_finalintro_2                 Denke daran, den in der Nähe befindlichen Inkubar mit einem Ingenieur zu erobern und die Seelen der Getöteten zu sammeln.
launchpad_finalintro_3                 Zögere nicht, die neu geborenen Darwinianer als Kämpfer einzusetzen. Die Offiziere sollen sie zum Angriff aufrufen.

launchpad_finalisland_1                Die drei Pumpen stehen jetzt in Betrieb, die Rakete wird mit Treibstoff gefüllt. Gut gemacht.
launchpad_finalisland_2                Jetzt gilt es, die letzte Hürde zu nehmen. Wir müssen die bösen roten Darwinianer angreifen und zerstören, die den Startplatz besetzt halten.
launchpad_finalisland_3                Die Gebäude, in deren Nähe sie sich aufhalten, sind Brutpunkte. Du musst sie der roten Armee abnehmen und unter deine Kontrolle bringen.
launchpad_finalisland_4                Am besten stellst du Dir diese Brutpunkte wie automatische Inkubatoren vor: Sie brüten endlos neue Darwinianer, so lange, bis eine bestimmte Bevölkerungszahl erreicht ist.
launchpad_finalisland_5                Doch da sie derzeit unter der Kontrolle der roten Darwinianer sind, brüten sie auch rote Darwinianer.
launchpad_finalisland_6                Sobald es Dir gelingt, den ersten dieser Brutpunkte zu erobern, beginnt er, neue grüne Darwinianer zu produzieren.
launchpad_finalisland_7                Um den ersten Brutpunkt zu erobern, musst du gute grüne Darwinianer über diese Radarverbindung transportieren.
launchpad_finalisland_8                Die roten Darwinianer werden zum Angriff übergehen, sobald du ihnen den ersten Brutpunkt abnimmst, also sei vorsichtig.
launchpad_finalisland_9                Ich halt Dir die Daumen.

launchpad_reprogram2_1                 Richte diesen Radarschirm auf die mittlere Insel aus.
launchpad_reprogram2_2                 Du kannst dann die Darwinianer mithilfe eines Offiziers über die Verbindung schleusen.

launchpad_success_1                    Wir haben's geschafft!
launchpad_success_2                    Ich möchte Dir aus ganzem Herzen danken.
launchpad_success_3                    Wenn du mehr von dieser Welt sehen und über den Großen Krieg wissen möchtest, dann kaufe Dir bitte jetzt die Vollversion.
launchpad_success_4                    Lebwohl, mein Freund!

launchpad_success_5                    Komm, ich zeige dir, wie alles begann, als Darwinia für immer verändert wurde.

launchpad_button_exitdemo              DEMO BEENDEN
launchpad_button_buynow                JETZT KAUFEN

launchpad_buyme_1                      DU HAST LUST AUF MEHR?
launchpad_buyme_2                      Kauf Dir Darwinia Online und
launchpad_buyme_3                      LADE DAS SPIEL SOFORT HERUNTER!
launchpad_buyme_4                      Ein 30 MB-Download ist alles,
launchpad_buyme_5                      was Dich von dem vollen Spiel trennt.

launchpad_buyme_oberon_1a              WILLST DU MEHR?
launchpad_buyme_oberon_2               Kaufe Darwinia und
launchpad_buyme_oberon_3               SPIELE SOFORT DIE VOLLVERSION!


# ================================================
# END OF STRINGS FILE FOR DEMO
# All strings below this line will NOT
# be included in the DEMO build
# ================================================

demo_endoffile                         Unused


# ================================================
# Garden
# ================================================

garden_intro_1                         Wer zum Teufel bist du?  Wie bist du hier reingekommen?
garden_intro_2                         Ich dachte, ich hätte alle externen Verbindungen abgebrochen.
garden_intro_3                         Also gut, wenn du schon da bist, dann mach Dich wenigstens nützlich.
garden_intro_4                         Nimm Dir Zeit, um Dich zurechtzufinden, und dann hilf mir, diesen roten Virus loszuwerden.
garden_intro_5_kbd                     Wenn du nicht mehr weiter weißt, drücke H, und ich geb Dir ein paar Tipps.

garden_foundscroll_1                   Ausgezeichnete Arbeit. Die Ingenieure werden sich jetzt dranmachen, die Forschungsergebnisse in meinen Computer zu laden.
garden_foundscroll_2                   Ein Pech, dass die meisten meiner Forschungsergebnisse vor wenigen Stunden wegen dieser Virenverseuchung verloren gingen. Deshalb wirst du hoffentlich von Zeit zu Zeit noch Forschungsergebnisse finden.
garden_foundscroll_3                   Es wäre für mich von Vorteil, du würdest in solchen Fällen deine Ingenieure dazu anhalten, die Forschungen gleich herunterzuladen. Ich hab derzeit alle Hände damit zu tun, diesen verflixten Virus in Schach zu halten, weshalb ich dazu ganz einfach keine Bandbreite habe.

garden_souls_1                         Du hast vielleicht bemerkt, dass die Virii, die du vernichtest, kleine rote Dinger zurücklassen. Das sind digitale DNA - digitale Seelen, wenn du den Ausdruck gestattest.
garden_souls_2                         Jede Kreatur in Darwinia hat ihre eigene digitale Seele. Ursprünglich waren sie für die Darwinianer gedacht, aber der Virus hat die meisten davon vereinnahmt.
garden_opentrunkport_1                 Doch bevor wir etwas unternehmen können, bis wir diesen Ort verlassen. Hier musst du für mich das Verbindungsportal öffnen.
garden_opentrunkport_2                 Es ist ein Standard-Kontrollturm in der Nähe, also kannst du einen deiner Ingenieure beauftragen, ihn umzuprogrammieren, damit wir ihn nutzen können.


# ================================================
# Cutscene after Garden
# ================================================

gardenfinished_1                       Es tut mir leid, wenn ich auf der Insel rüde zu Dir war, ich war über die letzten paar Stunden ganz schön gestresst.
gardenfinished_2                       Mein Name ist Dr Sepulveda, Schöpfer des digitalen Lebensprojekts auf Darwinia. Normalerweise würde ich Dich auf Darwinia willkommen heißen und Dir die Gegend zeigen, aber leider ist heute einiges schief gelaufen, so dass wir auf die touristische Rundreise verzichten müssen.
gardenfinished_3                       Ich brauche deine Hilfe, um ein paar mehr von den verseuchten Orten wieder in Betrieb zu setzen. Die Sicherheitshülle ist eine Art Kern oder Nabe der Welt. Bitte begib Dich dorthin, und ich erklär Dir mehr, wenn du angeschlossen bist.


# ================================================
# Containment field
# ================================================

containment_primary_1                  Wir müssen anfangen, die Darwinianer-Bevölkerung wieder aufzubauen. Der Schlüssel dazu sind die Inkubatoren.
containment_primary_2                  Beseitige die Verseuchung außerhalb des Schutzbereichs und verwende dann Ingenieure, um die Seelen der toten Virii zu sammeln und sie zu den Inkubatoren zu bringen.
containment_primary_3                  Um diesen Ort herum gibt es drei Inkubatoren. Sie dienen dazu, die gesammelten feindlichen Seelen in Darwinianer zu verwandeln.
containment_primary_4                  Befördere einige der Darwinianer zu Offizieren und benutze sie, um die verbleibenden Darwinianer sicher zurück in den Schutzbereich zu führen.
containment_primary_5                  Ich möchte, dass du mindestens 150 Darwinianer auf diese Weise rettest, um sicher zu sein. Für den Moment sind die Darwinianer im Innern des Schutzbereichs sicher.

containment_intro1                     Als die Virenseuche ausbrach, hatte ich große Mühe, die Dinge unter Kontrolle zu halten.
containment_intro1b                    Es blieb mir nichts anderes übrig als das Verbindungsportal-System abzuschalten, das die einzelnen Orte in Darwinia verbindet.
containment_intro2                     Dies ist der einzige Ort, den ich von dem Virus frei halten konnte. Der doppelte Schild fungiert als wirksame Barriere.
containment_intro3                     Ich habe alle drei abgeschaltete Verbindungsportale auf der Insel markiert, und du musst sie alle öffnen.
containment_intro3b                    Einmal geöffnet, können wir über die Verbindungsportale zu anderen wichtigen Örtlichkeiten gelangen.
containment_rescuedw1                  Und hier das Wichtigste. Dies hier sind Darwinianer.
containment_rescuedw1b                 Ich habe den besten Teil der letzten 10 Jahre damit verbracht, sie hochzuziehen, und ich bin stolz auf sie.
containment_rescuedw2                  Wenn ich es nicht zu verhindern gewusst hätte, wären sie jetzt alle tot. Aber ich habe immerhin einige retten können.
containment_rescuedw2b                 Es gab schon über 10.000 Generationen von Darwinianern, und der Verlust für die Künstliche Intelligenz wäre undenkbar.
containment_rescuedw3                  Sie sind ein erstaunlicher Schöpfungsakt. Jeder Darwinianer hat seine eigene digitale Seele, die zu Lebzeiten seinen Körper bewohnt und nach seinem Tod ins Zentralreservoir zurückkehrt.
containment_rescuedw4                  Du wirst mir helfen müssen, sie wieder aufzustocken. Natürlich kannst du auf meine Unterstützung zählen. Fang jetzt an, die Verseuchung außerhalb des Schutzbereichs zu beseitigen.

containment_incubator_1                Der Inkubator läuft!  Das ist ausgezeichnet. Die Ingenieure werden alle Seelen der toten Kreaturen in der Nähe sammeln und sie in diese Anlage bringen.
containment_incubator_2                Die Seelen werden dann eine nach der anderen in Darwinianer verwandelt. Auf diese Weise bauen wir die Darwinianer-Bevölkerung neu auf.
containment_incubator_3                Leider habe ich das System so ausgelegt, dass die Darwinianer über ihren eigenen freien Willen verfügen - so dass wir sie nicht wie deinen Trupp direkt steuern können.
containment_incubator_4                Allerdings gibt es Wege, sie indirekt zu beeinflussen. Mach weiter beim Aufräumen hier und sammle Seelen ... Ich bin bald wieder zurück.

containment_officer_1                  Oh super, du hast den Code für das Offiziers-Programm gefunden. Dieses clevere kleine Programm befähigt Dich, einzelne Darwinianer zu Offizieren zu befördern, die dann den Darwinianern Befehle erteilen können.
containment_officer_2_kbd              Um einen Offizier zu erstellen, zeichne diese Geste und klick dann auf den Darwinianer, den du befördern willst.
containment_officer_2_xin              Um einen Offizier zu erstellen, zeichne diese Geste und wähle dann den Darwinianer, den du befördern willst.
containment_officer_2_icons_kbd        Um einen Offizier zu erstellen, öffnest du den Task Manager und klickst auf das Offiziers-Symbol. Danach klickst du auf den Darwinianer, den du befördern willst.
containment_officer_2_icons_xin        Um einen Offizier zu erstellen, öffnest du den Task Manager und wählst das Offiziers-Symbol. Danach wählst du den Darwinianer, den du befördern willst.
containment_officer_3                  Die Darwinianer, die du bis jetzt erzeugt hast, sind nicht außer Gefahr. Bring sie mit dem Offiziers-Programm unter den Baum in dem (markierten) Schutzbereich in Sicherheit.

containment_rescuedws_1                Gute Arbeit, sieht aus, als seien einige der Darwinianer jetzt in dem sicheren Bereich angelangt. Aber das reicht noch nicht. Wenn wir Darwinia wieder in Gang setzen wollen, brauchen wir ein ganzes Stück mehr.
containment_rescuedws_2                Ich denke, wir sollten etwa 150 Darwinianer in den sicheren Bereich bringen. Säubere die Nachbarinsel von der Verseuchung, sammle die Seelen und geleite die Darwinianer in den sicheren Bereich, bis du genug davon beisammen hast.

containment_objective_2                Rettung von 150 Darwinianern

containment_finished_1                 So, ich denke, wir haben jetzt genug Darwinianer im sicheren Bereich.


# ================================================
# Cutscene after containment
# ================================================

containmentend_1                       Ich habe an einem Entwurf für eine Waffenplattform gearbeitet, damit die Darwinianer den Virus bekämpfen können.
containmentend_1b                      Es gibt noch eine Menge Arbeit zu tun, aber wir können diese Waffen in Darwinia selbst herstellen.
containmentend_2                       Darwinia verfügt bereits über eine solide technische Anlage für die Konstruktion, nur ist sie derzeit, wie alles andere auch, außer Betrieb.
containmentend_2b                      Die Anlage ist über drei Stellen verteilt, die Mine, der Generator und der Bauhof.
containmentend_3                       Lass mich Dir erst die Minen zeigen.

containmentend_mine1                   Diese ganze Anlage ist ein riesiges Bergbauwerk, das jetzt ebenfalls von diesem lästigen Virus befallen ist.
containmentend_mine1b                  Es wird unter Tage nach rohen Polygonen gegraben, die dann in die vorbeifahrenden Minenwagen geladen werden.
containmentend_mine2                   Diese Polygone durchlaufen dann die Raffinerie, die aus ihnen Primitive gewinnt.
