# =================================================
# Greenhouse stuff
# =================================================

gk_nonetwork                           No Connection

biosphere_reddead_1                    It looks like we've pretty much wiped out the Red Army.

biosphere_end_1                        I've figured it out!  I've figured out how this whole thing happened.
biosphere_end_2                        Come down to the Temple...I'll show you.  And I know how to stop it once and for all.

rockhead_1                             The Darwinian's saw a picture of me once.  They didn't stop celebrating for days.  For just a few seconds, my ridiculous face was projected onto the sky all over Darwinia.
rockhead_2                             I was working on the code for rendering the sky, and the texture data was accidentally overwritten with a live image from my Webcam, similar to what you see on your screen when I'm talking to you.
rockhead_3                             Ever since that day, the Darwinians have been hijacking the Construction Yard when I'm not looking and using it to build these rock faces, which they then transport all over the world.
rockhead_4                             It made me realise what an enormous responsibility I have as their Creator.


# ================================================
# Temple
# ================================================

temple_intro_1                         Long ago, the Darwinians began work on a temple.  It was their dream, I think, to somehow begin communicating with me.
temple_intro_2                         It never occurred to me that one day they might actually succeed.
temple_intro_3                         It's really quite ingenious.  They found a way to align one of the Trunk Ports with what they believed was Heaven...the Soul Repository at the centre of Darwinia.
temple_intro_4                         Thinking they were talking to God, they'd managed to open up a data stream and began downloading files from my computer.
temple_intro_5                         My Research Programs were the first files to move through the link.
temple_intro_6                         My attention was elsewhere.  I should have been watching them more closely.
temple_intro_7                         They had the schematics and designs for how Darwinia was built.  They weren't ready for this information.
temple_intro_8                         For the first time ever, they began to understand the nature of their simulated digital existence.
temple_intro_9                         Next they downloaded all of my emails.  This was when I noticed something was wrong.
temple_intro_10                        Fearing what would happen next, I shut down the Link.  But it was too late.
temple_intro_11                        Amongst the emails were a couple of Spam Mails, infected with a particularly nasty strain of Internet Virus.
temple_intro_13                        I couldn't quite believe it was happening.
temple_intro_14                        The Virus warped the Darwinians into the destructive creatures we've been fighting all this time.
temple_intro_15                        Then they turned on the survivors.
temple_intro_16                        They replicated themselves at such a terrifying rate.  They'd taken over most of the system before I could contain them.
temple_intro_17                        In all honesty I had my finger on the Global Reset button.  I really did think my life's work had been ruined.
temple_intro_18                        It was just at that moment when you arrived.  And thank God you arrived when you did!

temple_primary_1                       Three of the infected spam emails still exist, and they are all still active.
temple_primary_1b                      Anything that goes near them will be corrupted and converted into the Virus.
temple_primary_2                       The good news is that we've cornered the Virus at this location.  These infected emails are the last source of the Virus that need to be destroyed.
temple_primary_3                       You'll need to fight your way up to them and destroy them with explosives at close range.  Go for it!

temple_objective                       Destroy Infected Email


# =================================================
# Game Over
# =================================================

gameover_1                             Fantastic, that's the last of the Infected Spam Mail destroyed!
gameover_2                             When you're ready, exit the location and we'll have a look around the revitalised world together.


# =================================================
# Intro
# =================================================

intro_1                                Introversion Software Presents
intro_2                                DARWINIA
intro_3                                Connecting to Darwin Research Associates Project Server...
intro_4                                Data stream established.
intro_5                                Welcome to the Internet's first Digital Theme Park.
intro_6                                Please try not to harm or scare the native Darwinians.
intro_7                                Warning : Errors detected in data stream.
intro_8                                On behalf of Dr Sepulveda and the team, we hope you enjoy your visit.
intro_9                                Warning : Errors detected in data stream.
intro_10                               W3rning  : ErroHrs det.c.d in data stre.m.

intro_ambrosia_1                       Mac OS X Port Published by
intro_ambrosia_2                       Ambrosia Software

intro_bootloader                       Show First Time Intro

# =================================================
# Outro
# =================================================

outro_biosphere_1                      I don't think the Darwinians will ever truly forget what has happened.
outro_biosphere_1b                     In fact, I think this will turn out to be a defining moment in their history.
outro_biosphere_2                      They're much more ambitious now, bolder and stronger and smarter than they ever were.  But their innocence has been lost.
outro_biosphere_2b                     The battle at the Biosphere is without doubt the darkest chapter yet in Darwinia's history.
outro_biosphere_3                      The horrific loss of life in such a short period of time, and the very concept of Darwinians fighting and killing their own kin, makes it particularly potent for me.

outro_receiver_1                       Of all those who died, the Darwinians who fell under the Soul Destroyers will linger most in the survivors' memories.
outro_receiver_2                       Their Souls are irretrievably lost, with no possible hope of afterlife or rebirth awaiting them.
outro_receiver_3                       Their broken spirits will continue to haunt the places where they fell, until the end of the world.
outro_receiver_4                       Because of this, the Darwinians now understand, for the first time I think, what it truly means for one of their kind to die.

outro_containment_1                    It is my dream that Darwinia will continue to evolve and grow, long after I am gone.
outro_containment_1b                   I started the Darwin Digital Life project over a decade ago, and I've worked on it every single day in virtual isolation for all this time...
outro_containment_2                    ...only for my life's work to be saved today by a total stranger.
outro_containment_3                    I want you to help me continue my work.  I'm transferring a profile to you that will give you access to every location in Darwinia.
outro_containment_4                    It is clear to me now that I am no longer capable of running Darwinia on my own.  I want to give you the tools I used to build this world.
outro_containment_5                    I want you to help me finish it.

outro_10                               I'm transferring permissions to the World Editor to your computer.  That's the tool I used to build every location you've seen so far.  You can access it from the Main Menu when you're up in Heaven.
outro_11                               I'm also transferring a new user profile to your system, which I've called AccessAllAreas.  You can load it from the Profiles menu.  It will give you full access to all the locations you've visited in Darwinia.

outro_1                                When I think of the number of stories and legends that must have been created since this outbreak occurred, well, it scares me.
outro_2                                I'm afraid the Darwinians have a very long memory.  They still tell mournful stories of the island that was lost in the Server crash last year.
outro_3                                I don't know what effect this war will have on the Darwinians.  And I don't know what they'll want to do next.
outro_4                                But I do know that our actions here will live on through tale and folklore, for generations of Darwinians to come.


# =================================================
# Editor strings
# =================================================

editor_savesettings         Save Settings
editor_generate             Generate
editor_randomise            Randomise
editor_clone                Clone
editor_delete               Delete
editor_deletenow            !DELETE!
editor_size                 Size
editor_height               Height
editor_width                Width
editor_depth                Depth
editor_seed                 Seed
editor_move                 Move
editor_rotate               Rotate

editor_mainedit                        Main Edit
editor_editlandtiles                   Edit Land Tiles
editor_editflattenareas                Edit Flatten Areas
editor_editlights                      Edit Lights
editor_editbuildings                   Edit Buildings
editor_editinstantunits                Edit Instant Units
editor_editcameramounts                Edit Camera Mounts
editor_save                            Save

editor_landscape                       Landscape
editor_landscapetile                   Landscape Tile
editor_guidegrid                       Guide Grid
editor_noiseperiod                     Noise Period
editor_noisescale                      Noise Scale
editor_method                          Method
editor_lowlandsmooth                   Low Land Smooth
editor_posX                            PosX
editor_posY                            PosY
editor_posZ                            PosZ
editor_newtile                         New Tile
editor_newflattenarea                  New Flatten Area
editor_scaledown                       Scale Down
editor_scaleup                         Scale Up
editor_outsideheight                   Outside Height
editor_cellsize                        Cell Size
editor_worldsizeX                      World Size X
editor_worldsizeZ                      World Size Z
editor_movebuildings                   Move Buildings
editor_popcap                          Population Cap
editor_numplayers                      Num Players
editor_evil                            Evil

editor_resolution                      Resolution
editor_toolsize                        Tool Size
editor_freehand                        Freehand
editor_flatten                         Flatten
editor_binary                          Binary

editor_treeditor                       Tree Editor
editor_clonesimilar                    Clone Similar
editor_branchcolour                    Branch Col
editor_leafcolour                      Leaf Col
editor_budsize                         Bud Size
editor_pushup                          PushUp
editor_pushout                         PushOut
editor_iterations                      Iterations

editor_lights                          Lights
editor_newlight                        New Light
editor_deselectlights                  Deselect Lights
editor_selectlight                     Select Light
editor_adjustbrightness                Adjust Brightness

editor_instantunits                    Instant Units
editor_instantuniteditor               Instant Unit Editor
editor_numentities                     Num Ents
editor_spread                          Spread
editor_inunit                          In Unit

editor_coloureditor                    Colour Editor
editor_red                             Red
editor_green                           Green
editor_blue                            Blue
editor_alpha                           Alpha

editor_toggleeditor                    Toggle Editor

editor_globalworldeditor               Global World Editor
editor_editlocations                   Edit Locations
editor_movelocations                   Move Locations
editor_createnewlocation               Create New Location
editor_savelocations                   Save Locations

editor_cameramounts                    Camera Mounts
editor_cameraanims                     Camera Anims
editor_cameraanim                      Camera Anim
editor_createnewmount                  Create New Mount
editor_goto                            Goto
editor_update                          Update
editor_del                             Del

editor_buildings                       Buildings
editor_buildingid                      Building ID
editor_link                            Link
editor_dynamic                         Dynamic
editor_isglobal                        Is Global
editor_buildingtype                    Building Type
editor_createbuilding                  Create Building

editor_spirits                         Spirits
editor_targetlocation                  Target Location
editor_scale                           Scale
editor_mode                            Mode
editor_disabling                       Disabling
editor_enabling                        Enabling
editor_enabled                         Enabled
editor_disabled                        Disabled
editor_numants                         NumAnts
editor_capacity                        Capacity
editor_entitytype                      EntityType
editor_toggledby                       ToggledBy
editor_research                        Research
editor_level                           Level
editor_pitch                           Pitch
editor_force                           Force
editor_variance                        Variance
editor_reload                          Reload
editor_usetrigger                      UseTrigger
editor_triggerX                        TriggerX
editor_triggerZ                        TriggerZ
editor_triggerrad                      TriggerRad
editor_altitude                        Altitude
editor_segment                         Segment
editor_count                           Count
editor_period                          Period
editor_searchradius                    SearchRadius
editor_maxpopulation                   MaxPopulation
editor_clearlinks                      Clear Links
editor_range                           Range
editor_script                          Script
editor_always                          Always
editor_never                           Never
editor_cameraenter                     Camera Enter
editor_cameraview                      Camera View
editor_shape                           Shape
editor_fuel                            Fuel
editor_passengers                      Passengers
editor_spawnport                       Spawn Port
editor_requiredscore                   Required Score
editor_pointspersec                    PointsPerSecond
editor_minlinks                        MinimumActiveNodes
editor_powerlink1                      Pylon 1
editor_powerlink2                      Pylon 2
editor_spawnlimit                      Max Spawns
editor_leafdrop                        Leaf Droprate
editor_spiritdrop                      Spirit Droprate
editor_neveron                         Never On
editor_alwayson                        Always On
editor_switchonce                      Switch Once
editor_priority                        Priority Modifier
editor_forceconnection                 Force Connection
editor_autoconnect                     Auto Connect
editor_master                          Master
editor_timer                           Timer
editor_runastask                       Run As Task
editor_turrettype                      Turret Type

spawnname_spawnvirii                   SpawnVirii
spawnname_spawncentipedes              SpawnCentipedes
spawnname_spawnspider                  SpawnSpider
spawnname_spawnspirits                 SpawnSpirits
spawnname_spawneggs                    SpawnEggs
spawnname_spawntriffideggs             SpawnTriffidEggs
spawnname_spawndarwinians              SpawnDarwinians


# =================================================
# Building Names
# =================================================

buildingname_invalid                   Invalid
buildingname_factory                   Factory
buildingname_cave                      Cave
buildingname_radardish                 RadarDish
buildingname_laserfence                LaserFence
buildingname_controltower              ControlTower
buildingname_gunturret                 GunTurret
buildingname_bridge                    Bridge
buildingname_powerstation              Powerstation
buildingname_tree                      Tree
buildingname_wall                      Wall
buildingname_trunkport                 TrunkPort
buildingname_researchitem              ResearchItem
buildingname_library                   Library
buildingname_generator                 Generator
buildingname_pylon                     Pylon
buildingname_pylonstart                PylonStart
buildingname_pylonend                  PylonEnd
buildingname_solarpanel                SolarPanel
buildingname_tracklink                 TrackLink
buildingname_trackjunction             TrackJunction
buildingname_trackstart                TrackStart
buildingname_trackend                  TrackEnd
buildingname_refinery                  Refinery
buildingname_mine                      Mine
buildingname_yard                      Yard
buildingname_displayscreen             DisplayScreen
buildingname_upgradeport               UpgradePort
buildingname_primaryupgrade            PrimaryUpgrade
buildingname_incubator                 Incubator
buildingname_anthill                   AntHill
buildingname_safearea                  SafeArea
buildingname_triffid                   Triffid
buildingname_spiritreceiver            SpiritReceiver
buildingname_receiverlink              ReceiverLink
buildingname_spiritspawner             SpiritSpawner
buildingname_spiritprocessor           SpiritProcessor
buildingname_spawnpoint                SpawnPoint
buildingname_spawnpopulationlock       SpawnPopulationLock
buildingname_spawnpointmaster          SpawnPointMaster
buildingname_spawnlink                 SpawnLink
buildingname_aitarget                  AITarget
buildingname_aispawnpoint              AISpawnPoint
buildingname_blueprintstore            BlueprintStore
buildingname_blueprintconsole          BlueprintConsole
buildingname_blueprintrelay            BlueprintRelay
buildingname_scripttrigger             ScriptTrigger
buildingname_spam                      Spam
buildingname_goddish                   GodDish
buildingname_staticshape               StaticShape

buildingname_rocketturret              RocketTurret
buildingname_grenadeturret             GrenadeTurret
buildingname_flameturret               FlameTurret
buildingname_grenadeturret             GrenadeTurret
buildingname_subversionturret          Subversion Turret


# =================================================
# Bootloaders
# =================================================

bootloader_amiga                       .                               Darwinia  -  Final Release                    Cracked by                DMA Crew                I've been coding for 38 hours straight getting this crack working. I just quickly wrote this intro. Sorry it's a bit crap but I only spent 12 minutes on it. Been drinking coffee and Red Bull all day - I think my frontal lobes are bleeding. Greetz to Alistair, Chris, Jo, Johnny, Mark, Michael, Tom and all the beta testers. Further greetz to the late Jay Miner for creating the Amiga and all demo coders everywhere for showing the rest of the world what computers are really for.                See you all again on the next quality release from DMA Crew...

bootloader_credits_1                   Created by
bootloader_credits_2                   Chris Delay
bootloader_credits_3                   Andrew Bainbridge
bootloader_credits_4                   Produced by
bootloader_credits_5                   Introversion Software
bootloader_credits_6                   Mark Morris
bootloader_credits_7                   Thomas Arundel
bootloader_credits_8                   Chris Delay
bootloader_credits_9                   John Knottenbelt
bootloader_credits_10                  Sound Design and Production
bootloader_credits_11                  Alistair Lindsay
bootloader_credits_12                  Michael Maidment
bootloader_credits_13                  Music
bootloader_credits_14                  Trash80
bootloader_credits_15                  www.trash80.net
bootloader_credits_16                  Intro Theme Music
bootloader_credits_17                  Mathieu Stempell
bootloader_credits_18                  (Dma-Sc)
bootloader_credits_19                  Additional Music
bootloader_credits_20                  Paul Slocum
bootloader_credits_21                  Starring
bootloader_credits_22                  Peter Hutchison
bootloader_credits_23                  as Dr Sepulveda
bootloader_credits_24                  and Maddie the cat
bootloader_credits_25                  as the voice of the Darwinians
bootloader_credits_26                  Additional shapes
bootloader_credits_27                  Michelle Jones
bootloader_credits_28                  Kelvin Liew
bootloader_credits_29                  Additional graphic design
bootloader_credits_30                  Jo Stansfield
bootloader_credits_31                  Mac and Linux Ports
bootloader_credits_32                  John Knottenbelt
bootloader_credits_33                  UK Distribution
bootloader_credits_34                  Pinnacle Software
bootloader_credits_35                  Mac Publisher
bootloader_credits_36                  Ambrosia Software
bootloader_credits_37                  Beta Testers
bootloader_credits_38                  DARWINIA
bootloader_credits_39                  A digital dreamscape
bootloader_credits_40                  by Introversion Software
bootloader_credits_41                  Further Development
bootloader_credits_42                  Gary Chambers
bootloader_credits_43                  Stepan Hbrek
bootloader_credits_44                  James Lawton

bootloader_fodder_1                    This game is not in any way
bootloader_fodder_2                    endorsed by
bootloader_fodder_3                    SENSIBLE SOFTWARE

bootloader_life                        GAME OF LIFE
bootloader_life_1                      These complex behaviour patterns emerge from a very
bootloader_life_2                      simple set of basic rules, that all darwinians in the colony obey.
bootloader_life_3                      These rules are based on the well known 'Game Of Life' designed by John Conway.
bootloader_life_4                      - Three darwinians clustered around an empty cell will birth a new darwinian in that cell
bootloader_life_5                      - A darwinian in a cell with 2 or 3 neighbours will live a happy and sociable life
bootloader_life_6                      - A darwinian in a cell with just 1 neighbour or no neighbours will die a lonely soul
bootloader_life_7                      - A darwinian with 4 neighbours or more will die of starvation
bootloader_life_8                      - (added) A darwinian has a maximum life of 50 years
bootloader_life_9                      The Darwinians will live many happy and prosperous years under this simple system.
bootloader_life_10                     The final rule governing age is unique to Darwinia, and even though the colony may live
bootloader_life_11                     for many hundreds of years, this cruel addition is the touch of doom,
bootloader_life_12                     guaranteeing the eventual extinction of the entire tribe.
bootloader_life_13                     It was agreed by all on the Darwin Digital Life project that the Darwinians
bootloader_life_14                     must be taught the concept of their own mortality at the earliest possible opportunity.
bootloader_life_15                     Press g to regenerate
bootloader_life_16a                    Music by Paul Slocum
bootloader_life_16b                    (http://qotile.net/)
bootloader_life_17                     Colony age in years :
bootloader_life_18                     Press h for help

bootloader_raytrace_1                  Don't panic, the game will begin shortly,
bootloader_raytrace_2                  but before we get started we thought we'd
bootloader_raytrace_3                  whet your appetite with a lovely
bootloader_raytrace_4                  software raytracer hehehe :)
bootloader_raytrace_5                  Introversion sends out greetz to DMA_SC
bootloader_raytrace_6                  for letting us use this wicked old-school
bootloader_raytrace_7                  track which is called
bootloader_raytrace_8                  VISITORS FROM DREAMS
bootloader_raytrace_9                  Press h for help

bootloader_raytrace_10                 RAY TRACER HELP
bootloader_raytrace_11                 Resolution
bootloader_raytrace_12                 Reflectiveness
bootloader_raytrace_13                 Pixel Wave
bootloader_raytrace_14                 Motion Blur
bootloader_raytrace_15                 Pixel Blur
bootloader_raytrace_16                 Brightness
bootloader_raytrace_17                 Static Camera
bootloader_raytrace_18                 Controllable Camera
bootloader_raytrace_19                 Rotating Camera
bootloader_raytrace_20                 Rotate Light Source
bootloader_raytrace_21                 Rotate Camera
bootloader_raytrace_22                 Horizontal Camera Movement
bootloader_raytrace_23                 Vertical Camera Movement

bootloader_soul_0                      thinking
bootloader_soul_1                      feeling
bootloader_soul_2                      judgement
bootloader_soul_3                      perception
bootloader_soul_4                      sensation
bootloader_soul_5                      intuition
bootloader_soul_6                      extroversion
bootloader_soul_7                      introversion
bootloader_soul_8                      INTROVERSION SOFTWARE
bootloader_soul_9                      Video game design with soul


# =================================================
# Multiwinia
# =================================================

teamtype_0                          Local Player
teamtype_1                          Remote Player
teamtype_2                          (CPU)
teamtype_left                       (LEFT)
teamtype_demo                       (DEMO)

multiwinia_gametype                 Game Type

multiwinia_open_or_cpu              Open/CPU

multiwinia_mapname                  LOCATION
multiwinia_playtime                 TIME
multiwinia_difficulty               DIFFICULTY
multiwinia_players                  TEAMS
multiwinia_coop                     CO-OP
multiwinia_gamemode                 GAME TYPE

multiwinia_complexity_basic         Simple
multiwinia_complexity_intermediate  Medium
multiwinia_complexity_advanced      Hard

multiwinia_select_session_type_title Select Match Type
multiwinia_session_type_xblas		Live Arcade (Standard)
multiwinia_session_type_xblar		Live Arcade (Ranked)
multiwinia_session_type_syslnk		System Link
multiwinia_session_type_split		Split Screen

multiwinia_signin_title				Sign in
multiwinia_signin_xbla				Sign into Live Arcade

multiwinia_join_game_title			Game Search
multiwinia_setup_quick_match		Quick Match

multiwinia_teamscores               TEAM SCORES
multiwinia_teamscores_assault       OBJECTIVES
multiwinia_gameover                 GAME OVER
multiwinia_spacetoexit              Press ESC to Exit
multiwinia_atoexit                  Press START to Exit
multiwinia_spacetostart             PRESS SPACE WHEN READY
multiwinia_atostart                 PRESS A WHEN READY
multiwinia_gamestarttimer           GAME STARTING IN *T
multiwinia_waitingforplayers        WAITING FOR PLAYERS
multiwinia_ready                    READY
multiwinia_readycpu                 READY (CPU)
multiwinia_isthewinner              *T is the WINNER
multiwinia_reinforcements           Reinforcements in *S
multiwinia_retribution_timer        Retribution in *S
multiwinia_retribution_maxtasks     Retribution : Two powerups max
multiwinia_spawnmania_timer         SPAWN MANIA: *T
multiwinia_blitzkrieg_timer         MEGA RAGE: *T
multiwinia_tiegame                  It's a DRAW!
multiwinia_cooppoints               *T   *S points

multiwinia_confirmexit              Quit This Game?
multiwinia_confirmreset             Reset This Profile?

multiwinia_team_green               Green
multiwinia_team_red                 Red
multiwinia_team_yellow              Yellow
multiwinia_team_blue                Blue
multiwinia_team_orange              Orange
multiwinia_team_pink                Pink
multiwinia_team_purple              Purple
multiwinia_team_cyan                Cyan
multiwinia_team_virus               Evilinians
multiwinia_team_future              Futurewinians

multiwinia_retribution              Retribution!
multiwinia_suddendeath              Sudden Death!

multiwinia_player_left				*T left the game!
multiwinia_exclamation				*T!

start_testbed_server				Testbed Server
start_testbed_client				Testbed Client

# =================================================
# Buy Now
# =================================================

multiwinia_buynow_1                 * 6 different game modes with unique goals and challenges!
multiwinia_buynow_2                 * Over 40 different levels!
multiwinia_buynow_3                 * Up to 4 Players online!
multiwinia_buynow_4                 * Team up in co-operative levels against the computer or other players!
multiwinia_buynow_5                 * Over 30 types of power-up and penalty to cause carnage!

# multiwinia_buynow                   * 6 different game modes with unique goals and challenges!\n* Over 40 different levels!\n* Up to 4 Players online!\n* Team up in co-operative levels against the computer or other players!
multiwinia_buynow                   Six different game modes:\n\n* DOMINATION\n* KING OF THE HILL\n* CAPTURE THE STATUE\n* ASSAULT\n* ROCKET RIOT\n* BLITZKRIEG\n\n* Nearly 50 levels included\n* Up to 4 players oline\n* Co-operative multiplayer
multiwinia_buy_prices               Immediate Activation on purchase\nNo further download is required


# =================================================
# PDLC needed
# =================================================
multiwinia_pdlc_1                   You require additional downloadable
multiwinia_pdlc_2                   content to play on this server.
multiwinia_pdlc_3                   Would you like to download this now
multiwinia_pdlc_4                   or go back to the main menu?

# =================================================
# Multiwinia Menus
# =================================================

multiwinia_mainmenu_title           MULTIWINIA
multiwinia_mainmenu_title360        DARWINIA+
multiwinia_mainmenu_title_darwinia	DARWINIA
multiwinia_mainmenu_subtitle        Survival of the flattest
multiwinia_menu_mainmenutitle       Main Menu
multiwinia_menu_choosegame	        Select Game
multiwinia_menu_singleplayergame    Single Player Game
multiwinia_menu_multiplayergame     Multiplayer Game
multiwinia_menu_rollingdemo         Rolling Demo
multiwinia_menu_leaderboards        Leaderboards
multiwinia_menu_achievements        Achievements
multiwinia_menu_crates				Crate Info
multiwinia_menu_help                Help 
multiwinia_menu_options             Options
multiwinia_menu_unlockfullgame      Unlock Full Game
multiwinia_menu_buyfullgame         Buy Full Game
multiwinia_menu_buypdlc				Download PDLC
multiwinia_menu_nopdlc				No PDLC installed
multiwinia_menu_clickpdlc			Buy PDLC
multiwinia_menu_quit                Quit
multiwinia_menu_returntoarcade      Return to Arcade
multiwinia_menu_helpandoptions      Help and Options
multiwinia_menu_settings            Settings
multiwinia_menu_howtoplay           How To Play
multiwinia_menu_cratehelp			Crate Information
multiwinia_menu_controls            Controls
multiwinia_menu_selecthelp          Select Help
multiwinia_menu_not_got_maplist1	Loading map information
multiwinia_menu_not_got_maplist2	Please wait
multiwinia_menu_play_demo           Play Demo

multiwinia_menu_returntogame        Resume Game

multiwinia_menu_darwiniainfo        A single player dreamscape
multiwinia_menu_darwiniainfo_mp     Single player only
multiwinia_menu_multiwiniainfo_sp   Skirmish against CPU
multiwinia_menu_multiwiniainfo_mp   Massive multiplayer mayhem

multiwinia_neworjoin_title          MULTIPLAYER
multiwinia_singleplayer_title       SINGLE PLAYER
multiwinia_menu_joingame            Join Game
multiwinia_menu_hostgame            Host Game
multiwinia_menu_back                Back
multiwinia_menu_quickstart          Quick Game
multiwinia_menu_leavegame           Exit Game

multiwinia_gameselect_title         Select Game
multiwinia_menu_addaiplayer         Add AI Player
multiwinia_menu_coop                Co-op Play
multiwinia_menu_singleround         Single Round Only
multiwinia_menu_aimode                          AI Type

multiwina_playername_default        NewPlayer

multiwinia_menu_prologue            Darwinia Tutorial
multiwinia_menu_campaign            Darwinia Campaign
multiwinia_menu_tutorial            Multiwinia Tutorial
multiwinia_menu_tutorial_short      Tutorials
multiwinia_menu_versuscpu           Multiwinia Versus CPU

multiwinia_menu_tutorial1           Part 1: The Basics
multiwinia_menu_tutorial2           Part 2: Advanced Concepts

multiwinia_menu_tutorial1_xbox      Tutorial 1: The Basics
multiwinia_menu_tutorial2_xbox      Tutorial 2: Advanced Concepts

multiwinia_menu_views				View
multiwinia_menu_boards				Leaderboard
multiwinia_menu_friends				Friends
multiwinia_menu_myscore				My Score
multiwinia_menu_overall				Overall
multiwinia_menu_alllevels			All levels
multiwinia_menu_allgames			All Games
multiwinia_menu_quickmatch          Quick Match
multiwinia_menu_createsession       Create Match
multiwinia_menu_createprivatesession Create Private Match
multiwinia_menu_custommatch         Custom Match
multiwinia_menu_playermatch         Player Match
multiwinia_menu_rankedmatch         Ranked Match

multiwinia_menu_play                Play
multiwinia_menu_advanceoptions      Advanced Options
multiwinia_menu_invite              Invite
multiwinia_menu_ready               Ready
multiwinia_menu_serverpassword      Server Password
multiwinia_menu_connect             Connect
multiwinia_enterpassword            Enter Password

multiwinia_menu_done                Done

multiwinia_join_host                Host
multiwinia_join_map                 Map Name
multiwinia_join_type                Mode
multiwinia_join_players             Players
multiwinia_join_address             Address

multiwinia_menu_searching           Searching For Games

multiwinia_leaderboard_rank			Rank
multiwinia_leaderboard_name			Gamertag
multiwinia_leaderboard_score		Points
multiwinia_leaderboard_loading		Loading
multiwinia_leaderboard_failed		Failed to load leaderboard
multiwinia_leaderboard_empty		No leaderboard data
multiwinia_leaderboard_rankzero     Not yet played
multiwinia_leaderboard_weekly_yes	Show all stats
multiwinia_leaderboard_weekly_no	Show weekly stats
multiwinia_leaderboard_showing		Showing rows *R to *S of *T total entries
multiwinia_leaderboards_tslb		TrueSkill rankings
multiwinia_leaderboards_tsr			TrueSkill rank
multiwinia_leaderboards_sp_title	Darwinia
multiwinia_leaderboards_cpu_title	Multiwinia (CPU)
multiwinia_leaderboards_mpr_title	Multiwinia (ranked)
multiwinia_leaderboards_mpn_title	Multiwinia (standard)
multiwinia_leaderboards_sp_extra0	Most kills: *K 
multiwinia_leaderboards_sp_extra1	Most survivors: *S 
multiwinia_leaderboards_sp_extra2	Min. Squaddies: *T
multiwinia_leaderboards_mp_extra0	Kills: *K
multiwinia_leaderboards_mp_extra1	Survivors: *S
multiwinia_leaderboards_mp_extra2	Play time: *T
multiwinia_leaderboards_cpus_beaten	*A CPUs beaten
multiwinia_leaderboards_ppl_beaten	*A Humans beaten


multiwinia_multiplayer_no			You do not have the correct permissions to play Multiplayer

multiwinia_auth                     Authentication
multiwinia_enterauthkey             Enter Auth Key
multiwinia_menu_paste               Paste
multiwinia_menu_paste_tooltip       Paste the key from the clipboard

multiwinia_playeroptions            Player Options
multiwinia_player_name              Player Name

multiwinia_colour_green             Green
multiwinia_colour_red               Red
multiwinia_colour_yellow            Yellow
multiwinia_colour_blue              Blue
multiwinia_colour_orange            Orange
multiwinia_colour_cyan              Cyan
multiwinia_colour_purple            Purple
multiwinia_colour_pink              Pink

multiwinia_menu_resettodefault      Reset To Default

multiwinia_menu_normal              Normal
multiwinia_menu_hard                Hard
multiwinia_menu_joining             Joining Game
multiwinia_menu_connecting          Connecting
multiwinia_menu_attempts            (Attempt *T)
multiwinia_menu_connected           CONNECTED
multiwinia_menu_resyncing           Handshaking *T%

multiwinia_menu_filters             Filters
multiwinia_menu_showdemogames       Show Demo Games
multiwinia_menu_showincompatible    Show Incompatible Games
multiwinia_menu_showfull            Show Full Games
multiwinia_menu_showcustom          Show Custom Maps
multiwinia_menu_showpasswords       Show Passworded Games

multiwinia_update_available         Update Available
multiwinia_menu_autopatch           Run Autopatcher

multiwinia_passwordrequired         A password is required to join this server.\nEnter Password
multiwinia_clicktokick              Press to Kick Player

multiwinia_editor_mapfilename       Map Filename
multiwinia_editor_create            Create New Map
multiwinia_editor_edit              Edit Existing Map
multiwinia_editor_change            Change Map
multiwinia_editor_nomapselected     No Map Selected
multiwinia_editor_current           Current Map:
multiwinia_editor_selectmap         Select Map
multiwinia_editor_mapexists         A map with this filename already exists.
multiwinia_editor_mapcreated        Map *F has been successfully created
multiwinia_editor_success           Success

multiwinia_player_join              *P joined the game
multiwinia_player_leave             *P left the game

dialog_tied_1                       You are tied for First!
dialog_tied_2                       You are tied for Second
dialog_tied_3                       You are tied for Third
dialog_tied_4                       You are tied for Fourth
dialog_tied_5                       You are tied for Fifth


# ======================================================
# Control Help
# ======================================================

multiwinia_control_select           select
multiwinia_control_promote          promote
multiwinia_control_move             move
multiwinia_control_order            send
multiwinia_control_follow			follow
multiwinia_control_none				none
multiwinia_control_noorder          no orders
multiwinia_control_place            place
multiwinia_control_formation        form up
multiwinia_control_destroy          destroy
multiwinia_control_unload           unload
multiwinia_control_load             load
multiwinia_control_close            close
multiwinia_control_laser            lasers
multiwinia_control_grenade          grenade

multiwinia_cratepowerupfound        crate opened
multiwinia_reinforcementsgiven      reinforcements
multiwinia_retributiongiven         retribution
multiwinia_deselect                 press SPACE to deselect
multiwinia_deselect_xbox            press b to deselect
multiwinia_rmbhelp                  Right mouse button to move\npress SPACE to deselect
multiwinia_rmbhelp_mac              Right mouse button (or control-click) to move\npress SPACE to deselect
multiwinia_officerterminate         press c to terminate a unit
multiwinia_officerterminate_xbox    press b to terminate a unit
multiwinia_rmbhelp_xbox             Press x to move\npress b to deselect
multiwinia_armourtoggle             Right Click to toggle orders
multiwinia_armourtoggle_xbox        Press x to toggle orders
